column_name,column_type,column_description,sample_value,ref_key
roadway_surface_condition_name,TEXT,,"[""Dry"", ""Wet""]",
vin_character_9,TEXT,,"[""6"", ""5"", ""7""]",
related_factors_driver_level_4,NUMBER,,[0],
vin_character_6,TEXT,,"[""3"", ""2"", ""5""]",
related_factors_vehicle_level_1,NUMBER,,[0],
first_harmful_event,NUMBER,,"[12, 33, 8]",
release_of_hazardous_material_from_the_cargo_compartment,TEXT,,"[""Not Applicable""]",
vin_character_8,TEXT,,"[""Z"", ""2"", ""9""]",
previous_recorded_crashes,NUMBER,,[0],
speed_limit,NUMBER,,"[55, 35, 45]",
driver_drinking,TEXT,,"[""No Drinking""]",
mcid_issuing_authority,NUMBER,,"[6, 0, 88]",
critical_event_precrash,NUMBER,,"[17, 62, 13]",
mcid_identification_number,TEXT,,"[""90018"", ""000000000"", ""888888888""]",
driver_presence,TEXT,,"[""Yes""]",
vin_character_12,TEXT,,"[""5"", ""A"", ""0""]",
vin_character_1,TEXT,,"[""2"", ""1"", ""3""]",
drivers_zip_code,NUMBER,,"[93657, 32807, 33436]",
day_of_crash,NUMBER,,"[2, 7, 15]",
consecutive_number,NUMBER,,"[60861, 121927, 121142]",
year_of_last_crash_suspension_or_conviction,NUMBER,,"[2014, 0]",
manner_of_collision,NUMBER,,"[6, 0]",
fire_occurrence,TEXT,,"[""No or Not Reported""]",
vin_character_3,TEXT,,"[""5"", ""T"", ""G""]",
commercial_motor_vehicle_license_status,NUMBER,,"[6, 0]",
hazardous_material_class_number,NUMBER,,[0],
crash_type,NUMBER,,"[89, 65, 1]",
first_harmful_event_name,TEXT,,"[""Motor Vehicle in Transport"", ""Curb"", ""Pedestrian""]",
minute_of_crash,NUMBER,,"[12, 0, 21]",
compliance_with_license_restrictions,NUMBER,,"[1, 0]",
registration_state,NUMBER,,"[6, 12, 17]",
location_of_rollover,TEXT,,"[""No Rollover""]",
timestamp_of_crash,NUMBER,,"[1454400720000000, 1452175200000000, 1455546060000000]",
vehicle_make_name,TEXT,,"[""Dodge"", ""Ford"", ""Honda""]",
roadway_surface_type,TEXT,,"[""Blacktop, Bituminous, or Asphalt"", ""Not Reported""]",
registration_state_name,TEXT,,"[""California"", ""Florida"", ""Illinois""]",
month_of_crash,NUMBER,,"[2, 1, 9]",
gross_vehicle_weight_rating,TEXT,,"[""10,000 lbs or Less"", ""Not Applicable""]",
non_cdl_license_type,TEXT,,"[""Full Driver License""]",
vehicle_model,NUMBER,,"[461, 31, 482]",
vin_character_7,TEXT,,"[""5"", ""4"", ""2""]",
most_harmful_event,NUMBER,,"[12, 43, 8]",
vin_character_11,TEXT,,"[""K"", ""H"", ""L""]",
hour_of_crash,NUMBER,,"[8, 14, 21]",
motor_carrier_identification_number_mcid,TEXT,,"[""0690018"", ""00000000000"", ""88888888888""]",
special_use_name,TEXT,,"[""Vehicle Used as Other Bus"", ""Unknown"", ""No Special Use""]",
traffic_control_device,NUMBER,,"[20, 0]",
drivers_license_state,NUMBER,,"[6, 12, 17]",
vin_character_4,TEXT,,"[""W"", ""N"", ""E""]",
related_factors_driver_level_1,NUMBER,,"[38, 0, 6]",
related_factors_vehicle_level_2,NUMBER,,[0],
speeding_related,TEXT,,"[""No"", ""Yes, Too Fast for Conditions""]",
previous_dwi_convictions,NUMBER,,[0],
roadway_surface_condition,NUMBER,,"[1, 2]",
previous_speeding_convictions,NUMBER,,"[1, 0]",
previous_recorded_suspensions_and_revocations,NUMBER,,[0],
compliance_with_cdl_endorsements,TEXT,,"[""Endorsement(s) Required, Complied With"", ""No Endorsements Required For This Vehicle""]",
vehicle_make,NUMBER,,"[7, 12, 37]",
critical_event_precrash_name,TEXT,,"[""Crossing Over (Passing Through) Intersection"", ""From Opposite Direction Over Left Lane Line"", ""Off the Edge of the Road on the Right Side""]",
crash_type_name,TEXT,,"[""INTERSECTING PATHS (VEHICLE DAMAGE), CONFIGURATION L: STRAIGHT PATHS, Struck on the Left"", ""SAME TRAFFICWAY, OPPOSITE DIRECTION, CONFIGURATION I: SIDESWIPE/ANGLE, Lateral Move (Going Straight)"", ""SINGLE DRIVER, CONFIGURATION A: RIGHT ROADSIDE DEPARTURE, Drive Off Road""]",
initial_contact_point,NUMBER,,"[61, 10, 12]",
non_cdl_license_status,NUMBER,,[6],
bus_use,TEXT,,"[""Unknown"", ""Not a Bus""]",
pre_impact_location,NUMBER,,"[1, 4]",
year_of_first_crash_suspension_or_conviction,NUMBER,,"[2014, 0]",
fatalities_in_vehicle,NUMBER,,"[3, 0, 2]",
jackknife,TEXT,,"[""Not an Articulated Vehicle""]",
trafficway_description,TEXT,,"[""Two-Way, Not Divided"", ""Two-Way, Divided, Unprotected (Painted > One-Way Trafficway Feet) Median"", ""Two-Way, Divided, Positive Median Barrier""]",
pre_impact_stability,TEXT,,"[""Tracking""]",
make_model_combined,NUMBER,,"[7461, 12461, 37031]",
vehicle_configuration_name,TEXT,,"[""Bus/Large Van (Seats for 9-15 Occupants, Including Driver)"", ""Not Applicable"", ""Single-Unit Truck (2 axles and GVWR more\nthan 10,000 lbs.)""]",
registered_vehicle_owner,NUMBER,,"[3, 4, 2]",
month_of_last_crash_suspension_or_conviction,NUMBER,,"[4, 0]",
rollover,TEXT,,"[""No Rollover""]",
hit_and_run,TEXT,,"[""No""]",
hazardous_material_involvement,TEXT,,"[""No""]",
vehicle_number,NUMBER,,"[1, 2, 3]",
registered_vehicle_owner_name,TEXT,,"[""Vehicle Registered as Business/Company/Government Vehicle"", ""Vehicle Registered as Rental Vehicle"", ""Driver (of This Vehicle) Not Registered Owner (Other Private Owner)""]",
attempted_avoidance_maneuver,NUMBER,,"[99, 1]",
emergency_motor_vehicle_use,TEXT,,"[""Not Applicable"", ""Unknown""]",
vehicle_identification_number_vin,TEXT,,"[""2B5WB35Z61K5"", ""1FTNE2425YHA"", ""1HGEM22973L0""]",
body_type,NUMBER,,"[21, 2, 31]",
extent_of_damage,TEXT,,"[""Disabling Damage"", ""Not Reported"", ""Minor Damage""]",
underride_override,NUMBER,,[0],
traffic_control_device_functioning,TEXT,,"[""Device Functioning Properly"", ""No Controls""]",
related_factors_driver_level_2,NUMBER,,"[0, 58]",
total_lanes_in_roadway,NUMBER,,"[2, 3, 6]",
vin_character_10,TEXT,,"[""1"", ""Y"", ""3""]",
state_number,NUMBER,,"[6, 12, 17]",
