column_name,column_type,column_description,sample_value,ref_key
initial_contact_point_name,TEXT,,"[""6 Clock Point"", ""12 Clock Point""]",
motor_carrier_identification_number,TEXT,,"[""00000000000""]",
vehicle_removal,NUMBER,,"[5, 2]",
related_factors_vehicle_level2,NUMBER,,[0],
fire_occurrence_name,TEXT,,"[""No or Not Reported""]",
vin_character_6,TEXT,,"[""W"", ""4"", ""M""]",
related_factors_vehicle_level2_name,TEXT,,"[""None""]",
registration_state,NUMBER,,"[9, 39, 6]",
underride_override,NUMBER,,[0],
make_model_combined_name,TEXT,,"[""Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler"", ""Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.)""]",
state_name,TEXT,,"[""Connecticut"", ""Ohio"", ""California""]",
special_use_name,TEXT,,"[""No Special Use""]",
hour_of_crash,NUMBER,,"[8, 9, 16]",
most_harmful_event_name,TEXT,,"[""Motor Vehicle In-Transport""]",
mcid_identification_number_name,TEXT,,"[""Not Applicable""]",
cargo_body_type_name,TEXT,,"[""Not Applicable (N/A)""]",
vehicle_trailing_name,TEXT,,"[""No Trailing Units""]",
body_type,NUMBER,,[14],
ptrlr1vin,TEXT,,"[""777777777777""]",
vehicle_number,NUMBER,,"[2, 1, 3]",
vehicle_model_year,NUMBER,,"[2017, 2015, 2001]",
vin_character_12,TEXT,,"[""5"", ""6"", ""2""]",
month_of_crash_name,TEXT,,"[""March"", ""December"", ""September""]",
manner_of_collision_name,TEXT,,"[""Not a Collision with Motor Vehicle In-Transport""]",
hazardous_material_involvement_name,TEXT,,"[""No""]",
hazardous_material_placard,NUMBER,,[0],
vin_character_3,TEXT,,"[""4""]",
first_harmful_event_name,TEXT,,"[""Curb"", ""Parked Motor Vehicle"", ""Pedestrian""]",
vehicle_configuration,NUMBER,,[0],
vehicle_make_name,TEXT,,"[""Jeep / Kaiser-Jeep / Willys- Jeep""]",
release_of_hazardous_material_from_the_cargo_compartment,NUMBER,,[0],
hit_and_run_name,TEXT,,"[""No""]",
minute_of_crash,NUMBER,,"[15, 16, 45]",
vin_character_1,TEXT,,"[""1""]",
vin_character_2,TEXT,,"[""C"", ""J""]",
motor_carrier_identification_number_name,TEXT,,"[""Not Applicable""]",
fatalities_in_vehicle,NUMBER,,[0],
first_harmful_event,NUMBER,,"[33, 14, 8]",
month_of_crash,NUMBER,,"[3, 12, 9]",
manner_of_collision,NUMBER,,[0],
day_of_crash,NUMBER,,"[26, 2, 17]",
vehicle_identification_number_vin_name,TEXT,,"[""1C4BJWEG7HL5"", ""1C4BJWEG7FL6"", ""1J4FT48S51L5""]",
registered_vehicle_owner_name,TEXT,,"[""Driverless/Motor Vehicle Parked/Stopped Off Roadway""]",
unit_type_name,TEXT,,"[""Motor Vehicle Not In-Transport Outside the Trafficway"", ""Motor Vehicle Not In-Transport Within the Trafficway""]",
emergency_motor_vehicle_use_name,TEXT,,"[""Not Applicable""]",
extent_of_damage,NUMBER,,"[4, 6]",
vehicle_configuration_name,TEXT,,"[""Not Applicable""]",
vin_character_5,TEXT,,"[""J"", ""T"", ""2""]",
related_factors_vehicle_level1,NUMBER,,[0],
fire_occurrence,NUMBER,,[0],
ptrlr2vin,TEXT,,"[""777777777777""]",
unit_type,NUMBER,,"[3, 2]",
cargo_body_type,NUMBER,,[0],
vin_character_11,TEXT,,"[""L"", ""C"", ""D""]",
extent_of_damage_name,TEXT,,"[""Functional Damage"", ""Disabling Damage""]",
initial_contact_point,NUMBER,,"[6, 12]",
hazardous_material_class_number,NUMBER,,[0],
hazardous_material_identification_number_name,TEXT,,"[""Not Applicable""]",
emergency_motor_vehicle_use,NUMBER,,[0],
body_type_name,TEXT,,"[""Compact Utility (Utility Vehicle Categories \""Small\"" and \""Midsize\"")""]",
ptrlr3vinname,TEXT,,"[""No Trailing Units""]",
number_of_occupants_name,TEXT,,"[""None"", ""01""]",
vehicle_model,NUMBER,,"[403, 404]",
ptrlr1vinname,TEXT,,"[""No Trailing Units""]",
state_number,NUMBER,,"[9, 39, 6]",
mcid_identification_number,TEXT,,"[""000000000""]",
number_of_motor_vehicles_in_transport_mvit,NUMBER,,[1],
day_of_crash_name,TEXT,,"[""26"", ""2"", ""17""]",
bus_use_name,TEXT,,"[""Not a Bus""]",
vehicle_identification_number_vin,TEXT,,"[""1C4BJWEG7HL5"", ""1C4BJWEG7FL6"", ""1J4FT48S51L5""]",
registration_state_name,TEXT,,"[""Connecticut"", ""Ohio"", ""California""]",
vin_character_4,TEXT,,"[""B"", ""F"", ""G""]",
vin_character_9,TEXT,,"[""7"", ""5"", ""6""]",
vehicle_trailing,NUMBER,,[0],
vehicle_model_year_name,TEXT,,"[""2017"", ""2015"", ""2001""]",
vehicle_removal_name,TEXT,,"[""Not Towed"", ""Towed Due to Disabling Damage""]",
hazardous_material_identification_number,NUMBER,,[0],
ptrlr3vin,TEXT,,"[""777777777777""]",
mcid_issuing_authority,NUMBER,,[0],
consecutive_number,NUMBER,,"[90068, 391010, 62431]",
make_model_combined,TEXT,,"[""2403"", ""2404""]",
underride_override_name,TEXT,,"[""No Underride or Override Noted""]",
related_factors_vehicle_level1_name,TEXT,,"[""None""]",
hazardous_material_class_number_name,TEXT,,"[""Not Applicable""]",
bus_use,NUMBER,,[0],
vin_character_7,TEXT,,"[""E"", ""8"", ""C""]",
vin_character_10,TEXT,,"[""H"", ""F"", ""1""]",
hour_of_crash_name,TEXT,,"[""8:00am-8:59am"", ""9:00am-9:59am"", ""4:00pm-4:59pm""]",
ptrlr2vinname,TEXT,,"[""No Trailing Units""]",
vin_character_8,TEXT,,"[""G"", ""S"", ""X""]",
release_of_hazardous_material_from_the_cargo_compartment_name,TEXT,,"[""Not Applicable""]",
vehicle_make,NUMBER,,[2],
mcid_issuing_authority_name,TEXT,,"[""Not Applicable""]",
most_harmful_event,NUMBER,,[12],
gross_vehicle_weight_rating_name,TEXT,,"[""Not Applicable""]",
gross_vehicle_weight_rating,NUMBER,,[0],
registered_vehicle_owner,NUMBER,,[6],
hazardous_material_involvement,NUMBER,,[1],
special_use,NUMBER,,[0],
number_of_occupants,NUMBER,,"[0, 1]",
hazardous_material_placard_name,TEXT,,"[""Not Applicable""]",
hit_and_run,NUMBER,,[0],
minute_of_crash_name,TEXT,,"[""15"", ""16"", ""45""]",
