column_name,column_type,column_description,sample_value,ref_key
vendor_id,TEXT,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.","[""VTS"", ""CMT""]",
dropoff_longitude,FLOAT,,"[-73.953727, -73.978965, -73.942215]",
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""CSH""]",
trip_distance,FLOAT,The elapsed trip distance in miles reported by the taximeter.,"[1.02, 0.7, 1.32]",
imp_surcharge,FLOAT,$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.,[],
tip_amount,FLOAT,Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.,[0.0],
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","["""", ""N""]",
dropoff_datetime,NUMBER,The date and time when the meter was disengaged,"[1337710380000000, 1327607580000000, 1330023960000000]",
pickup_latitude,FLOAT,,"[40.795068, 40.762705, 40.778522]",
rate_code,NUMBER,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,[1],
mta_tax,FLOAT,$0.50 MTA tax that is automatically triggered based on the metered rate in use,[0.5],
total_amount,FLOAT,The total amount charged to passengers. Does not include cash tips.,[6.8],
fare_amount,FLOAT,The time-and-distance fare calculated by the meter,[5.3],
extra,FLOAT,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges",[1.0],
dropoff_latitude,FLOAT,,"[40.787843, 40.763035, 40.79524]",
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,"[1, 2]",
pickup_longitude,FLOAT,,"[-73.96227, -73.98711, -73.953948]",
pickup_datetime,NUMBER,The date and time when the meter was engaged,"[1337710080000000, 1327607220000000, 1330023660000000]",
tolls_amount,FLOAT,Total amount of all tolls paid in trip.,[0.0],
