column_name,column_type,column_description,sample_value,ref_key
light_condition_name,TEXT,,"[""Dark - Not Lighted"", ""Reported as Unknown"", ""Daylight""]",
functional_system_name,TEXT,,"[""Local"", ""Major Collector"", ""Principal Arterial - Other""]",
national_highway_system_name,TEXT,,"[""This section IS NOT on the NHS"", ""This section IS ON the NHS""]",
type_of_intersection_name,TEXT,,"[""Not an Intersection"", ""Reported as Unknown""]",
first_harmful_event,NUMBER,,[1],
relation_to_trafficway,NUMBER,,"[4, 99, 1]",
relation_to_junction_specific_location,NUMBER,,"[1, 99]",
number_of_parked_working_vehicles,NUMBER,,[0],
manner_of_collision,NUMBER,,[0],
special_jurisdiction_name,TEXT,,"[""No Special Jurisdiction"", ""Indian Reservation""]",
latitude,FLOAT,,"[32.80691111, 99.9999, 27.73470833]",
relation_to_junction_within_interchange_area,NUMBER,,"[0, 9]",
year_of_crash,NUMBER,,[2020],
land_use,NUMBER,,"[1, 2]",
minute_of_arrival_at_scene_name,TEXT,,"[""Unknown EMS Scene Arrival Minutes"", ""33"", ""30""]",
atmospheric_conditions_1,NUMBER,,"[1, 7, 10]",
milepoint,NUMBER,,"[0, 99999, 99998]",
county_name,TEXT,,"[""PINAL (21)"", ""NAVAJO (17)"", ""INDIAN RIVER (61)""]",
atmospheric_conditions_2,NUMBER,,[0],
relation_to_junction_specific_location_name,TEXT,,"[""Non-Junction"", ""Reported as Unknown""]",
number_of_motor_vehicles_in_transport_mvit,NUMBER,,[1],
timestamp_of_crash,NUMBER,,"[1583353680000000, 1595026560000000, 1601824740000000]",
relation_to_junction_within_interchange_area_name,TEXT,,"[""No"", ""Reported as Unknown""]",
city,NUMBER,,[0],
ownership_name,TEXT,,"[""Not Reported"", ""Bureau of Indian Affairs"", ""Other Local Agency""]",
state_number,NUMBER,,"[4, 12, 16]",
land_use_name,TEXT,,"[""Rural"", ""Urban""]",
hour_of_notification_name,TEXT,,"[""Unknown"", ""0:00am-0:59am"", ""5:00pm-5:59pm""]",
atmospheric_conditions_2_name,TEXT,,"[""No""]",
longitude,FLOAT,,"[-111.4255389, 999.9999, -80.54405833]",
hour_of_notification,NUMBER,,"[99, 0, 17]",
day_of_crash,NUMBER,,"[4, 17, 30]",
trafficway_identifier,TEXT,,"[""BRADY PUMP RD"", ""BIA-15"", ""77TH STREET""]",
rail_grade_crossing_identifier_name,TEXT,,"[""Not Applicable""]",
milepoint_name,TEXT,,"[""None"", ""Unknown"", ""Not Reported""]",
route_signing_name,TEXT,,"[""Other""]",
national_highway_system,NUMBER,,"[0, 1]",
state_name,TEXT,,"[""Arizona"", ""Florida"", ""Idaho""]",
light_condition,NUMBER,,"[2, 9, 1]",
special_jurisdiction,NUMBER,,"[0, 3]",
consecutive_number,NUMBER,,"[40074, 40657, 122255]",
number_of_persons_in_motor_vehicles_in_transport_mvit,NUMBER,,"[2, 1, 5]",
minute_of_arrival_at_scene,NUMBER,,"[99, 33, 30]",
work_zone_name,TEXT,,"[""None""]",
hour_of_ems_arrival_at_hospital_name,TEXT,,"[""Unknown"", ""Not Applicable (Not Transported)""]",
minute_of_crash,NUMBER,,"[28, 56, 19]",
trafficway_identifier_2,TEXT,,[],
hour_of_ems_arrival_at_hospital,NUMBER,,"[99, 88]",
number_of_vehicle_forms_submitted_all,NUMBER,,[1],
county,NUMBER,,"[21, 17, 61]",
work_zone,NUMBER,,[0],
minute_of_ems_arrival_at_hospital,NUMBER,,"[99, 88]",
number_of_persons_not_in_motor_vehicles_in_transport_mvit,NUMBER,,[0],
number_of_drunk_drivers,NUMBER,,"[0, 1]",
manner_of_collision_name,TEXT,,"[""The First Harmful Event was Not a Collision with a Motor Vehicle in Transport""]",
type_of_intersection,NUMBER,,"[1, 99]",
relation_to_trafficway_name,TEXT,,"[""On Roadside"", ""Reported as Unknown"", ""On Roadway""]",
day_name,TEXT,,"[""4"", ""17"", ""30""]",
hour_of_arrival_at_scene_name,TEXT,,"[""Unknown EMS Scene Arrival Hour"", ""0:00am-0:59am"", ""5:00pm-5:59pm""]",
day_of_week,NUMBER,,"[4, 6, 1]",
city_name,TEXT,,"[""NOT APPLICABLE""]",
first_harmful_event_name,TEXT,,"[""Rollover/Overturn""]",
functional_system,NUMBER,,"[7, 5, 3]",
number_of_forms_submitted_for_persons_in_motor_vehicles,NUMBER,,"[2, 1, 5]",
hour_of_arrival_at_scene,NUMBER,,"[99, 0, 17]",
number_of_forms_submitted_for_persons_not_in_motor_vehicles,NUMBER,,[0],
