column_name,column_type,column_description,sample_value,ref_key
state,TEXT,File state -- either submitted or released,"[""released""]",
md5,TEXT,128-bit hash value expressed as a 32 digit hexadecimal number (in lower case) used as a file's digital fingerprint,"[""5cac5daa422a622a75ec88b96b736a08"", ""6d283c226404fd5435eac4399b11dcf5"", ""8f8f94f9c1242e39e0e4ec92bfe2e8c2""]",
id,TEXT,File UUID,"[""951601d9-792f-443d-a5de-8cacfc3792d0"", ""04311ccb-e6a5-4e1c-b097-868f02089626"", ""9e8102aa-b4e8-4ae0-92bd-92f518dbf1ca""]",
acl,TEXT,"Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179","[""[u'phs000178']""]",
baseid,TEXT,"UUID that all versions of the data (in other words, all GUIDs) point to","[""4aa8fca1-d7f9-41bb-92a7-15186678c263"", ""6cbcf11a-5797-4224-8fe3-d7acf048ff43"", ""3d41f96f-4fbf-4c0d-b888-c43fb56d4083""]",
file_name,TEXT,Name of file at the GDC,"[""genome.wustl.edu.TCGA-KP-A3VZ.indel.4a86ae3d9ad04c69adc50fe4eb998c0a.vcf.gz"", ""SCAUR_p_TCGA_b94_SNP_N_GenomeWideSNP_6_D05_755238.birdseed.data.txt"", ""B5-A11G-10A-01D_BCR3730_2011-09-20_022.fsa""]",
project_id,TEXT,"Id of the Project -- e.g. eg TCGA-BRCA, TARGET-AML, etc","[""TCGA-UCEC""]",
version,TEXT,Data version,"[""None""]",
release,FLOAT,Associated GDC Release Number,[],
type,TEXT,"Description of the data, eg. clinical_supplement, aligned_reads","[""legacy""]",
deletereason,TEXT,Reason for removal from the GDC,[],
url,TEXT,AWS file location,"[""s3://s3-external-1.amazonaws.com/gdcbackup/951601d9-792f-443d-a5de-8cacfc3792d0"", ""s3://s3-external-1.amazonaws.com/gdcbackup/04311ccb-e6a5-4e1c-b097-868f02089626"", ""s3://s3-external-1.amazonaws.com/gdcbackup/9e8102aa-b4e8-4ae0-92bd-92f518dbf1ca""]",
size,NUMBER,File size,"[1061454, 20850928, 68784]",
