column_name,column_type,column_description,sample_value,ref_key
SERIES_LEVEL_3_TYPE,TEXT,"Each variable can have multiple characteristics (e.g., Female). Each characteristic has an associated characteristic type, or category (e.g., Sex). Characteristic type for SERIES_LEVEL_3.","[""Cause""]",
VARIABLE_NAME,TEXT,Human-readable description of the reported attribute.,"[""Ambient air pollution attributable deaths | Sex: Both sexes | Age Group: 0-4 years | Cause: Lower respiratory infections | Margin of Error: Upper Bound"", ""Ambient air pollution attributable deaths | Sex: Both sexes | Age Group: 0-4 years | Cause: Lower respiratory infections | Margin of Error: Lower Bound"", ""Ambient air pollution attributable deaths | Sex: Both sexes | Age Group: 25-29 years | Cause: Trachea, bronchus, lung cancers | Estimate""]",
SERIES_LEVEL_2_TYPE,TEXT,"Each variable can have multiple characteristics (e.g., Female). Each characteristic has an associated characteristic type, or category (e.g., Sex). Characteristic type for SERIES_LEVEL_2.","[""Age Group""]",
SERIES_LEVEL_1,TEXT,"Characteristic specific to the variable, associated with SERIES_LEVEL_1_TYPE, if available.","[""Both sexes""]",
FREQUENCY,TEXT,Frequency of aggregations (e.g. Annual).,"[""Annual""]",
MEASUREMENT_TYPE,TEXT,Measurement classification of the variable (ex. Estimate).,"[""Margin of Error: Upper Bound"", ""Margin of Error: Lower Bound"", ""Estimate""]",
SERIES_LEVEL_2,TEXT,"Characteristic specific to the variable, associated with SERIES_LEVEL_2_TYPE, if available.","[""0-4 years"", ""25-29 years""]",
SERIES_LEVEL_1_TYPE,TEXT,"Each variable can have multiple characteristics (e.g., Female). Each characteristic has an associated characteristic type, or category (e.g., Sex). Characteristic type for SERIES_LEVEL_1.","[""Sex""]",
VARIABLE,TEXT,Unique identifier for a variable created from the unique characteristics of the World Health Organization (WHO) variables.,"[""AIR_41_SEX_BTSX_AGEGROUP_AGE0-4_ENVCAUSE_ENVCAUSE039_HIGH"", ""AIR_41_SEX_BTSX_AGEGROUP_AGE0-4_ENVCAUSE_ENVCAUSE039_LOW"", ""AIR_41_SEX_BTSX_AGEGROUP_AGE25-29_ENVCAUSE_ENVCAUSE068""]",
SERIES_LEVEL_3,TEXT,"Characteristic specific to the variable, associated with SERIES_LEVEL_3_TYPE, if available.","[""Lower respiratory infections"", ""Trachea, bronchus, lung cancers"", ""Stroke""]",
MEASURE,TEXT,Quantifiable attribute; description of what is being recorded.,"[""Mortality""]",
UNIT,TEXT,"Unit of measurement for the reported value (e.g., Percent).","[""Count""]",
