column_name,column_type,column_description,sample_value,ref_key
id,NUMBER,,"[21512, 117211, 158811]",
status,TEXT,,"[""Cancelled"", ""Complete"", ""Shipped""]",
product_id,NUMBER,,"[14235, 14159]",
shipped_at,NUMBER,,"[1661118900000000.0, 1706189340000000.0, 1660791780000000.0]",
order_id,NUMBER,,"[14805, 81114, 109826]",
sale_price,FLOAT,,"[0.0199999995529651, 0.4900000095367431]",
inventory_item_id,NUMBER,,"[58236, 316883, 429135]",
user_id,NUMBER,,"[12024, 64965, 88004]",
delivered_at,NUMBER,,"[1661222940000000.0, 1706461140000000.0]",
created_at,NUMBER,,"[1720493802000000, 1661055328000000, 1705966661000000]",
returned_at,NUMBER,,[],
