column_name,column_type,column_description,sample_value,ref_key
study_outcome_measures,VARIANT,,"[""[]"", ""[\n  {\n    \""measure\"": \""total number of ICU bed days spared\"",\n    \""time_frame\"": \""during study period, up to 1 year\"",\n    \""type\"": \""primary\""\n  },\n  {\n    \""measure\"": \""amount of healthcare expenditures based on bed occupancy and manpower\"",\n    \""time_frame\"": \""during study period, up to 1 year\"",\n    \""type\"": \""secondary\""\n  },\n  {\n    \""measure\"": \""number of unanticipated intensive care unit admission within 48 hours upon discharge to general ward\"",\n    \""time_frame\"": \""48 hour\"",\n    \""type\"": \""secondary\""\n  },\n  {\n    \""measure\"": \""rate of elective discharge to the intensive care unit\"",\n    \""time_frame\"": \""After extended post anaesthetic care in PACU service by case. Up to 24 hour\"",\n    \""type\"": \""secondary\""\n  },\n  {\n    \""measure\"": \""length of hospital stays\"",\n    \""time_frame\"": \""during admission or patient death, typically up to 1 month\"",\n    \""type\"": \""secondary\""\n  }\n]""]",
category_bra,VARIANT,,"[""{\n  \""full\"": [\n    {\n      \""id\"": \""4002\"",\n      \""value\"": \""Health Services Research\""\n    }\n  ],\n  \""values\"": [\n    \""Health Services Research\""\n  ]\n}"", ""{\n  \""full\"": [\n    {\n      \""id\"": \""4001\"",\n      \""value\"": \""Clinical Medicine and Science\""\n    }\n  ],\n  \""values\"": [\n    \""Clinical Medicine and Science\""\n  ]\n}"", ""{\n  \""full\"": [\n    {\n      \""id\"": \""4003\"",\n      \""value\"": \""Public Health\""\n    }\n  ],\n  \""values\"": [\n    \""Public Health\""\n  ]\n}""]",
category_hrcs_rac,VARIANT,,"[""{\n  \""codes\"": [\n    \""8.1\""\n  ],\n  \""full\"": [\n    {\n      \""code\"": \""8.1\"",\n      \""id\"": \""10801\"",\n      \""name\"": \""Organisation and delivery of services\""\n    }\n  ]\n}""]",
publication_ids,VARIANT,,"[""[]""]",
interventions,VARIANT,,"[""[\n  {\n    \""description\"": \""Neurobics exercise protocol given for 12 sessions over 3 weeks for 20 mins\"",\n    \""name\"": \""Neurobics exercises\"",\n    \""type\"": \""Intervention\""\n  }\n]"", ""[\n  {\n    \""arm_group_labels\"": \""postoperative patients admitted to TMH extended post anaesthetic care in PACU\"",\n    \""description\"": \""From January 2020, during COVID-19 first pandemics in Hong Kong, a bundle of interim measures was implemented with the joint efforts of the Department of Anaesthesia and Operating Theatre Services (A&OT) and Intensive Care Unit (ICU), and two ordinary recovery beds were converted into extended post anesthetic care in PACU (ExRR), based on the concept of overnight intensive recovery (OIR) to provide level 2 intensive care to patients undergoing major or ultra-major operations or having multiple comorbidities warranted intensive care in the immediately postoperative periods. This was conducted over 3 pandemic waves in Hong Kong.\"",\n    \""name\"": \""overnight intensive recovery / extended post anaesthetic care in PACU\"",\n    \""type\"": \""Other\""\n  }\n]"", ""[\n  {\n    \""arm_group_labels\"": \""Problem Management Plus\"",\n    \""description\"": \""Five session psychological intervention focusing on problem management skills.\"",\n    \""name\"": \""Problem Management Plus\"",\n    \""type\"": \""Behavioral\""\n  },\n  {\n    \""arm_group_labels\"": \""Services as usual\"",\n    \""description\"": \""Mental health services provided by a mental health specialists according to their standard practices of care\"",\n    \""name\"": \""Services as Usual\"",\n    \""type\"": \""Behavioral\""\n  }\n]""]",
category_hra,VARIANT,,"[""{\n  \""full\"": [\n    {\n      \""id\"": \""3902\"",\n      \""value\"": \""Health services & systems\""\n    }\n  ],\n  \""values\"": [\n    \""Health services & systems\""\n  ]\n}""]",
study_type,TEXT,,"[""Observational"", ""Interventional""]",
category_hrcs_hc,VARIANT,,"[""{\n  \""full\"": [\n    {\n      \""id\"": \""897\"",\n      \""value\"": \""Neurological\""\n    },\n    {\n      \""id\"": \""890\"",\n      \""value\"": \""Generic health relevance\""\n    }\n  ],\n  \""values\"": [\n    \""Neurological\"",\n    \""Generic health relevance\""\n  ]\n}"", ""{\n  \""full\"": [\n    {\n      \""id\"": \""890\"",\n      \""value\"": \""Generic health relevance\""\n    }\n  ],\n  \""values\"": [\n    \""Generic health relevance\""\n  ]\n}"", ""{\n  \""full\"": [\n    {\n      \""id\"": \""905\"",\n      \""value\"": \""Mental health\""\n    }\n  ],\n  \""values\"": [\n    \""Mental health\""\n  ]\n}""]",
acronym,TEXT,,"[""RECOUP-NY""]",
start_year,NUMBER,,"[2022, 2020, 2021]",
