column_name,column_type,column_description,sample_value,ref_key
mortality_rate_under5_male,FLOAT,Male sexes under-5 mortality rate (probability of dying between ages 0 and 5),"[29.25, 29.51, 29.94]",
infant_mortality_female,FLOAT,"Female infant mortality rate (infant deaths per 1,000 population)","[20.56, 18.58, 15.97]",
life_expectancy_male,FLOAT,Male life expectancy at birth (years),"[69.09, 69.29, 69.55]",
infant_mortality_male,FLOAT,"Male infant mortality rate (infant deaths per 1,000 population)","[26.09, 26.1, 26.11]",
mortality_rate_1to4_female,FLOAT,Female sexes child mortality rate (probability of dying between ages 1 and 4),"[2.4, 2.26, 2.06]",
country_name,TEXT,Country or area name,"[""Aruba""]",
mortality_rate_1to4,FLOAT,Both sexes child mortality rate (probability of dying between ages 1 and 4),"[2.82, 2.87, 2.99]",
life_expectancy,FLOAT,Both sexes life expectancy at birth (years),"[72.86, 72.92, 72.97]",
mortality_rate_1to4_male,FLOAT,Male sexes child mortality rate (probability of dying between ages 1 and 4),"[3.24, 3.5, 3.94]",
infant_mortality,FLOAT,"Both sexes infant mortality rate (infant deaths per 1,000 population)","[23.3, 22.31, 20.99]",
mortality_rate_under5_female,FLOAT,Female sexes under-5 mortality rate (probability of dying between ages 0 and 5),"[22.91, 20.8, 18.0]",
country_code,TEXT,Federal Information Processing Standard (FIPS) country/area code,"[""AA""]",
life_expectancy_female,FLOAT,Female life expectancy at birth (years),"[76.56, 76.49, 76.33]",
year,NUMBER,Year,"[1981, 1985, 1991]",
mortality_rate_under5,FLOAT,Both sexes under-5 mortality rate (probability of dying between ages 0 and 5),"[26.05, 25.12, 23.92]",
