column_name,column_type,column_description,sample_value,ref_key
mta_tax,FLOAT,$0.50 MTA tax that is automatically triggered based on the metered rate in use,[],
fare_amount,FLOAT,The time-and-distance fare calculated by the meter,"[9.7, 11.7]",
dropoff_datetime,NUMBER,The date and time when the meter was disengaged.,"[1239651180000000, 1242752400000000, 1255970820000000]",
total_amount,FLOAT,The total amount charged to passengers. Does not include cash tips,[12.7],
tolls_amount,FLOAT,Total amount of all tolls paid in trip.,[0.0],
pickup_latitude,FLOAT,Latitude where the meter was engaged,"[40.751778, 40.761755, 40.762957]",
imp_surcharge,FLOAT,$0.30 improvement surcharge assessed trips at the flag drop. The improvement surcharge began being levied in 2015.,[],
passenger_count,NUMBER,The number of passengers in the vehicle. This is a driver-entered value.,"[5, 1, 3]",
payment_type,TEXT,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip,"[""Credit"", ""CASH""]",
trip_distance,FLOAT,The elapsed trip distance in miles reported by the taximeter.,"[2.19, 2.58, 3.05]",
rate_code,NUMBER,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride,[],
extra,FLOAT,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges.","[1.0, 0.0]",
tip_amount,FLOAT,Tip amount – This field is automatically populated for credit card tips. Cash tips are not included.,"[2.0, 0.0, 1.0]",
pickup_longitude,FLOAT,Longitude where the meter was engaged.,"[-73.986445, -73.969677, -73.962147]",
pickup_datetime,NUMBER,The date and time when the meter was engaged.,"[1239650400000000, 1242751560000000, 1255969800000000]",
dropoff_latitude,FLOAT,Latitude where the meter was disengaged,"[40.748797, 40.733163, 40.745168]",
store_and_fwd_flag,TEXT,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka “store and forward,” because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip","[""""]",
dropoff_longitude,FLOAT,Longitude where the meter was disengaged.,"[-74.009697, -73.982702, -73.998242]",
vendor_id,TEXT,"A code indicating the TPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc","[""VTS""]",
