column_name,column_type,column_description,sample_value,ref_key
boro_ct,NUMBER,This is the boro_ct identifyer for the census tract that the tree point falls into.,[4121500],
health,TEXT,Indicates the user's perception of tree health.,"[""Good"", ""Poor""]",
st_assem,NUMBER,State Assembly District in which tree point is located,[25],
boroname,TEXT,Name of borough in which tree point is located,"[""Queens""]",
root_other,TEXT,Indicates the presence of other root problems,"[""No""]",
problems,TEXT,,"[""None""]",
st_senate,NUMBER,State Senate District in which tree point is located,[16],
y_sp,FLOAT,"Y coordinate, in state plane. Units are feet","[209556.7086, 209471.9164, 209696.2588]",
borocode,NUMBER,Code for borough in which tree point is located,[4],
longitude,FLOAT,"Longitude of point, in decimal degrees","[-73.81308438, -73.8134374, -73.8133524]",
trunk_wire,TEXT,Indicates the presence of a trunk problem caused by wires or rope wrapped around the trunk,"[""No""]",
nta_name,TEXT,This is the NTA name corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.,"[""Queensboro Hill""]",
tree_id,NUMBER,Unique identification number for each tree point,"[353686, 338614, 353969]",
stump_diam,NUMBER,"Diameter of stump measured through the center, rounded to the nearest inch.",[0],
x_sp,FLOAT,"X coordinate, in state plane. Units are feet.","[1036045.654, 1035948.008, 1035971.087]",
block_id,NUMBER,Identifier linking each tree to the block in the blockface table/shapefile that it is mapped on.,"[310870, 310867, 310869]",
zip_city,TEXT,City as derived from zipcode. This is often (but not always) the same as borough.,"[""Flushing""]",
brch_other,TEXT,Indicates the presence of other branch problems,"[""No""]",
state,TEXT,All features given value 'New York',"[""New York""]",
cb_num,NUMBER,Community board in which tree point is located,[407],
cncldist,NUMBER,Council district in which tree point is located,[20],
user_type,TEXT,This field describes the category of user who collected this tree point's data.,"[""NYC Parks Staff""]",
trnk_light,TEXT,Indicates the presence of a trunk problem caused by lighting installed on the tree,"[""No""]",
address,TEXT,Nearest estimated address to tree,"[""154-037 58 ROAD"", ""154-029 58 ROAD"", ""154-032 58 AVENUE""]",
zipcode,NUMBER,Five-digit zipcode in which tree is located,[11355],
root_grate,TEXT,Indicates the presence of a root problem caused by metal grates in tree bed,"[""No""]",
spc_common,TEXT,"Common name for species, e.g. ""red maple""","[""silver linden"", ""Callery pear"", ""London planetree""]",
nta,TEXT,This is the NTA Code corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.,"[""QN62""]",
brch_shoe,TEXT,Indicates the presence of a branch problem caused by sneakers in the branches,"[""No""]",
spc_latin,TEXT,"Scientific name for species, e.g. ""Acer rubrum""","[""Tilia tomentosa"", ""Pyrus calleryana"", ""Platanus x acerifolia""]",
status,TEXT,"Indicates whether the tree is alive, standing dead, or a stump.","[""Alive""]",
guards,TEXT,"Indicates whether a guard is present, and if the user felt it was a helpful or harmful guard. Not recorded for dead trees and stumps","[""None""]",
steward,TEXT,Indicates the number of unique signs of stewardship observed for this tree. Not recorded for stumps or dead trees.,"[""None""]",
sidewalk,TEXT,"Indicates whether one of the sidewalk flags immediately adjacent to the tree was damaged, cracked, or lifted. Not recorded for dead trees and stumps.","[""NoDamage""]",
root_stone,TEXT,Indicates the presence of a root problem caused by paving stones in tree bed,"[""No""]",
created_at,DATE,The date tree points were collected in the census software,"[""2015-10-20"", ""2015-10-16""]",
curb_loc,TEXT,Location of tree bed in relationship to the curb; trees are either along the curb (OnCurb) or offset from the curb (OffsetFromCurb),"[""OnCurb""]",
latitude,FLOAT,"Latitude of point, in decimal degrees","[40.74170965, 40.74147749, 40.74209312]",
trnk_other,TEXT,Indicates the presence of other trunk problems,"[""No""]",
tree_dbh,NUMBER,"Diameter of the tree, measured at approximately 54"" / 137cm above the ground.","[2, 6, 4]",
brch_light,TEXT,Indicates the presence of a branch problem caused by lights (usually string lights) or wires in the branches,"[""No""]",
