column_name,column_type,column_description,sample_value,ref_key
value,NUMBER,Value transferred in Wei,"[""0E-9""]",
to_address,TEXT,"Address of the receiver if trace_type is call, address of new contract or null if trace_type is create, beneficiary address if trace_type is suicide, miner address if trace_type is reward, shareholder address if trace_type is genesis, WithdrawDAO address if trace_type is daofork","[""0x7f6e12cee775346d6ba776510e25d703279886f3""]",
trace_type,TEXT,"One of call, create, suicide, reward, genesis, daofork","[""call""]",
subtraces,NUMBER,Number of subtraces,[0],
output,TEXT,"The output of the message call, bytecode of contract when trace_type is create",[],
block_hash,TEXT,Hash of the block where this trace was in,"[""0x99fbd59028ed558a6cfb1061788165736dbca4e3c70babbef68acace880caa34""]",
error,TEXT,Error if message call failed. This field doesn't contain top-level trace errors.,"[""Out of gas""]",
transaction_hash,TEXT,Transaction hash where this trace was in,"[""0x357e9067fc3a5a5dce38b968d01a4d8c67cc47ebb8001975c4998065748f4d83"", ""0xc3d4888217040e9b1ed5f1870f5189ec6d7567d882700d81a2758595575c4d07"", ""0x03b85e8e14bd404a1a2c15cbde921dcd21249d8bffc9b378c2cce62d925b5e54""]",
block_timestamp,NUMBER,Timestamp of the block where this trace was in,[1475369605000000],
call_type,TEXT,"One of call, callcode, delegatecall, staticcall","[""delegatecall""]",
trace_address,TEXT,Comma separated list of trace address in call tree,"[""3718"", ""1409"", ""2574""]",
gas,NUMBER,Gas provided with the message call,[0],
reward_type,TEXT,"One of block, uncle",[],
input,TEXT,The data sent along with the message call,"[""0x""]",
gas_used,NUMBER,Gas used by the message call,[],
from_address,TEXT,"Address of the sender, null when trace_type is genesis or reward","[""0xb09f8a62c6681b0c739dfde7221bfe8f2da3f128""]",
transaction_index,NUMBER,Integer of the transactions index position in the block,"[10, 12, 11]",
block_number,NUMBER,Block number where this trace was in,[2363392],
status,NUMBER,"Either 1 (success) or 0 (failure, due to any operation that can cause the call itself or any top-level call to revert)",[0],
