column_name,column_type,column_description,sample_value,ref_key
receipt_contract_address,TEXT,,[],
block_number,NUMBER,Number of the block which contains this transaction,"[7138313, 4276613, 7139311]",
receipt_status,NUMBER,,"[0.0, 1.0]",
receipt_gas_used,NUMBER,,"[7340032, 65792, 131840]",
gas,NUMBER,,"[7340032, 193707, 414492]",
nonce,NUMBER,,"[372, 50970, 605]",
from_address,TEXT,,"[""0x74a6c4823d81cbd6393e5957ccec128799a3f0c2"", ""0x731e6cc591b055001ccb9758008f636819df6152"", ""0xc1a1a63c331fc442bbbd04f32b923f8aa5f9f954""]",
to_address,TEXT,,"[""0xbff68676836ee64f26845a21a9dcbdd89512bf29"", ""0xf2a6b57c7f5a6835f1b84bffedd821e7f392fead"", ""0x8e5660b4ab70168b5a6feea0e0315cb49c8cd539""]",
receipt_root,TEXT,,"[""0x3aa1c84da6b14a7c690e8e672ee961f35257d91d29816c629385129d288484da"", ""0x06a9f96e1bbe0e70ebe80b3ae72f74cc3de9f0f2a4e68bd49b9205ed01fcc397""]",
block_hash,TEXT,Hash of the block which contains this transaction,"[""0xbe6a5fe4c3ec8f4e8eb9bf4b0791115f4a10d904c769e41d6ec2af241a478319"", ""0xd697042c2ca95a8788a92170678ef9251ab3e10fec1478a86ca81e4ef648d239"", ""0x0d9265a5889328e12cf0af68ba92554b486581c8a3be311a17094153afe24b1a""]",
transaction_index,NUMBER,,"[15, 130, 57]",
block_timestamp,NUMBER,Timestamp of the block which contains this transaction,"[1548664911000000, 1505477107000000, 1548682988000000]",
gas_price,NUMBER,,"[3000000000, 20000000000, 4000000000]",
input,TEXT,,"[""0xb61d27f600000000000000000000000042b974424f0066c2446810369f2eae0d49d3136e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000044a9059cbb000000000000000000000000e711d15f5520d50390db9a83b681f31c7673a0fd000000000000000000000000000000000000000000000000000000009502f90000000000000000000000000000000000000000000000000000000000"", ""0xae7b0333000000000000000000000000f87e31492faf9a91b02ee0deaad50d51d56d5d4dffffffffffffffffffffffffffffffd400000000000000000000000000000001000000000000000000000000000000000000000000000e3013c87ac943e00000"", ""0x5a68669900000000000000000000000000000000000000000000000000f6db547192c000000000000000000000000000000000000000000000000000000000005d26f1600000000000000000000000006adadda09ea70f82cf6bbc4c890fd040f6fb3d4b""]",
value,NUMBER,,"[""0E-9""]",
receipt_cumulative_gas_used,NUMBER,,"[7876681, 5622257, 4981720]",
hash,TEXT,The hash of this transaction,"[""0xc499d6ba82f798ceaf165cec2e8af8a58871f2e728105afdf27c3babdaf803e2"", ""0x6ce738ca184115b6ff34555d3ea2b4d8a84aca028d7802a7729e37e54b58b455"", ""0xef7873d77c161fd9b9bf9a3337141c7acbdb14d8ce0f3d4e3d3b5a45d34f1c01""]",
