column_name,column_type,column_description,sample_value,ref_key
14_DAY_TOTAL_UNITS,FLOAT,,"[2.0, 1.0, 4.0]",
14_DAY_TOTAL_SALES,FLOAT,,"[28.06, 132.5, 476.65]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-04-03 14:55:25-07:00"", ""2021-11-11 12:43:21-08:00""]",
VIDEO_THIRD_QUARTILE_VIEWS,FLOAT,,[],
CLICK_THRU_RATE_CTR,FLOAT,,"[0.012260536, 0.011512134, 0.027439024]",
14_DAY_TOTAL_ORDERS,FLOAT,,"[2.0, 1.0, 4.0]",
CLICKS,FLOAT,,"[32.0, 37.0, 36.0]",
VIEW_THROUGH_RATE_VTR,FLOAT,,[],
_REVISION,NUMBER,,"[1, 4]",
DATE,TIMESTAMP_LTZ,,"[""2021-07-13 00:00:00-07:00"", ""2021-07-18 00:00:00-07:00"", ""2021-07-19 00:00:00-07:00""]",
VIEWABLE_IMPRESSIONS,FLOAT,,[],
TOTAL_ADVERTISING_COST_OF_SALES_ACOS,FLOAT,,"[1.02637206, 0.251849057, 0.072589951]",
TOTAL_RETURN_ON_ADVERTISING_SPEND_ROAS,FLOAT,,"[0.974305556, 3.970632304, 13.77601156]",
VIDEO_UNMUTES,FLOAT,,[],
COST_PER_CLICK_CPC,FLOAT,,"[0.9, 0.901891892, 0.961111111]",
5_SECOND_VIEWS,FLOAT,,[],
CLICK_THROUGH_RATE_FOR_VIEWS_VCTR,FLOAT,,[],
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
VIDEO_MIDPOINT_VIEWS,FLOAT,,[],
CAMPAIGN_NAME,TEXT,,"[""NAME_279"", ""NAME_283"", ""NAME_280""]",
IMPRESSIONS,FLOAT,,"[2610.0, 3214.0, 1312.0]",
SPEND,FLOAT,,"[28.8, 33.37, 34.6]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-04-18 14:55:25-07:00"", ""2021-11-10 14:29:58-08:00""]",
CURRENCY,TEXT,,"[""GBP""]",
PORTFOLIO_NAME,TEXT,,"[""NAME_196"", ""NAME_8"", ""NAME_192""]",
ROW_INDEX,NUMBER,,"[1, 2, 23]",
VIDEO_FIRST_QUARTILE_VIEWS,FLOAT,,[],
VIDEO_COMPLETE_VIEWS,FLOAT,,[],
14_DAY_CONVERSION_RATE,FLOAT,,"[0.0625, 0.027027027, 0.111111111]",
MATCH_TYPE,TEXT,,"[""PHRASE""]",
TARGETING,TEXT,,"[""PRODUCT_11"", ""PRODUCT_8"", ""PRODUCT_181""]",
ID,NUMBER,,"[201921, 201922, 201943]",
5_SECOND_VIEW_RATE,FLOAT,,[],
