column_name,column_type,column_description,sample_value,ref_key
CLICK_THRU_RATE_CTR,FLOAT,,"[0.006526206, 0.022597294, 0.171779141]",
MATCH_TYPE,TEXT,,"[""EXACT"", ""PHRASE""]",
IMPRESSIONS,FLOAT,,"[24823.0, 7169.0, 489.0]",
DATE,TIMESTAMP_LTZ,,"[""2021-09-05 00:00:00-07:00"", ""2021-09-06 00:00:00-07:00""]",
CAMPAIGN_NAME,TEXT,,"[""NAME_20"", ""NAME_34"", ""NAME_58""]",
14_DAY_TOTAL_SALES,FLOAT,,[0.0],
14_DAY_TOTAL_ORDERS,FLOAT,,"[30.0, 33.0, 28.0]",
COST_PER_CLICK_CPC,FLOAT,,"[0.923333333, 1.693395062, 1.69047619]",
CLICKS,FLOAT,,"[162.0, 84.0, 79.0]",
PORTFOLIO_NAME,TEXT,,"[""NAME_2"", ""NAME_3"", ""NAME_1""]",
TARGETING,TEXT,,"[""PRODUCT_2"", ""PRODUCT_5"", ""PRODUCT_20""]",
CUSTOMER_SEARCH_TERM,TEXT,,"[""SEARCH_2"", ""SEARCH_5"", ""SEARCH_22""]",
AD_GROUP_NAME,TEXT,,"[""NAME_130"", ""NAME_134"", ""NAME_58""]",
14_DAY_BRAND_HALO_ASIN_SALES,TEXT,,"[""ASIN_2767""]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2021-11-09 13:48:38-08:00""]",
ROW_INDEX,NUMBER,,"[2, 9, 16]",
14_DAY_TOTAL_UNITS,FLOAT,,"[30.0, 33.0, 28.0]",
SPEND,FLOAT,,"[149.58, 274.33, 142.0]",
14_DAY_ADVERTISED_ASIN_UNITS,FLOAT,,"[28.0, 32.0, 27.0]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2021-10-25 13:48:38-07:00""]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
14_DAY_CONVERSION_RATE,FLOAT,,"[0.185185185, 0.203703704, 0.333333333]",
TOTAL_RETURN_ON_ADVERTISING_SPEND_ROAS,FLOAT,,"[14.78118732, 12.01013378, 17.58964789]",
TOTAL_ADVERTISING_COST_OF_SALES_ACOS,FLOAT,,"[0.067653564, 0.083263019, 0.056851621]",
CURRENCY,TEXT,,"[""GBP""]",
_REVISION,NUMBER,,[1],
14_DAY_ADVERTISED_ASIN_SALES,FLOAT,,[0.0],
ID,NUMBER,,"[168543, 168575, 168582]",
