column_name,column_type,column_description,sample_value,ref_key
SHIP_FROM,TEXT,,"[""Random City, Random State""]",
_PARTNERUUID,TEXT,,"[""0ba25d78-760e-4541-8eca-e4ff8292d0b1""]",
MODE,TEXT,,"[""LESS_THAN_TRUCKLOAD"", ""SMALL_PARCEL""]",
ALERT,TEXT,,"[""""]",
REFERENCE_ID,TEXT,,"[""ID_15360"", ""ID_14033"", ""ID_14042""]",
SHIP_TO,TEXT,,"[""IND9,  IN"", ""ATL2,"", ""BDL3,  CT""]",
ID,NUMBER,,"[42702, 42716, 42734]",
POS,TEXT,,"[""1GY3WLEI"", ""716ZWHTO"", ""7YHKZ35B""]",
UNSTACKED_PALLETS,FLOAT,,"[1.0, 0.0]",
CARRIER_NAME,TEXT,,"[""NAME_1""]",
STATUS,TEXT,,"[""Pending pick up"", ""Complete""]",
_LAST_UPDATED_ON,TIMESTAMP_LTZ,,"[""2022-01-11 05:33:05-08:00"", ""2022-01-06 05:32:33-08:00"", ""2021-12-31 05:32:35-08:00""]",
RAW_RECORD,TEXT,,[],
SHIPMENT_ID_ARN,TEXT,,"[""ID_9707"", ""ID_8373"", ""ID_8382""]",
STACKED_PALLETS,FLOAT,,[0.0],
CREATION_DATE,TIMESTAMP_LTZ,,"[""2022-01-05 00:00:00-08:00"", ""2021-12-28 00:00:00-08:00"", ""2021-12-16 00:00:00-08:00""]",
DATE_OR_DETAIL,TEXT,,"["""", ""Sun, Mar 21, 2021 PDT"", ""Thu, Feb 18, 2021 PST""]",
CARRIER_SCAC,TEXT,,"[""EXLA"", ""UPSN""]",
ASN,TEXT,,"[""ASN_1"", ""ASN_630"", ""ASN_639""]",
_REVISION,NUMBER,,"[50, 60, 63]",
_CREATED_ON,TIMESTAMP_LTZ,,"[""2022-01-03 09:59:08-08:00"", ""2021-12-28 13:33:13-08:00"", ""2021-12-19 12:32:55-08:00""]",
CARTONS,FLOAT,,"[26.0, 1.0, 3.0]",
