column_name,column_type,column_description,sample_value,ref_key
file_gdc_id,TEXT,,"[""cdd5e1a9-1ce8-4361-9fca-61ccb7098b25"", ""ef8d43d7-1393-4e56-b434-ccc10ffef2aa"", ""259704ee-25e4-4a52-a9b5-89b7f04656de""]",
case_gdc_id,TEXT,,"[""65bb7520-f055-43a8-b735-1152fa2c9e04"", ""282e979d-4ad9-4d42-8ffa-7487a94fa1f3"", ""2c650fe1-48b0-4f88-bc11-04096be48571""]",
aliquot_gdc_id,TEXT,,"[""b8074b70-ad2b-49e5-b70a-c6e8a6681830"", ""938a46a0-f08b-470a-bc72-b24048de06ee"", ""2782b675-2239-4b17-a7a4-17c5cbac5083""]",
platform,TEXT,Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27,[],
beta_value,FLOAT,"Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)","[0.612371930828832, 0.419433730790018, 0.724155855850361]",
case_barcode,TEXT,"Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details","[""TCGA-A6-2670"", ""TCGA-BR-4190"", ""TCGA-BR-4194""]",
sample_barcode,TEXT,"Original TCGA sample barcode, eg TCGA-12-1089-01A","[""TCGA-A6-2670-01A"", ""TCGA-BR-4190-11A"", ""TCGA-BR-4194-01A""]",
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-A6-2670-01A-02D-0820-05"", ""TCGA-BR-4190-11A-01D-1129-05"", ""TCGA-BR-4194-01A-02D-1129-05""]",
sample_gdc_id,TEXT,,"[""724072ae-40b5-45cc-b339-e24f1cb6fbcf"", ""78ca8f7f-2466-4681-81eb-e3611ac9b442"", ""2977c578-6a36-4ce5-9601-3f023e7e8b6b""]",
probe_id,TEXT,Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe,"[""cg22415432"", ""cg03515901"", ""cg08455548""]",
