column_name,column_type,column_description,sample_value,ref_key
probe_id,TEXT,Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe,"[""cg01446983"", ""cg06958829"", ""cg24505527""]",
case_barcode,TEXT,"Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details","[""TCGA-A6-2670"", ""TCGA-BR-4190"", ""TCGA-BR-4194""]",
platform,TEXT,Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27,[],
sample_barcode,TEXT,"Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries","[""TCGA-A6-2670-01A"", ""TCGA-BR-4190-01A"", ""TCGA-BR-4194-11A""]",
case_gdc_id,TEXT,,"[""65bb7520-f055-43a8-b735-1152fa2c9e04"", ""282e979d-4ad9-4d42-8ffa-7487a94fa1f3"", ""2c650fe1-48b0-4f88-bc11-04096be48571""]",
beta_value,FLOAT,"Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)","[0.00688703401956444, 0.884495494750188, 0.0185824609552367]",
aliquot_gdc_id,TEXT,,"[""b8074b70-ad2b-49e5-b70a-c6e8a6681830"", ""77f0ac56-827e-47da-bbfd-ca438b9fa222"", ""02b7a23d-34b9-4dfc-a1e5-800819501377""]",
sample_gdc_id,TEXT,,"[""724072ae-40b5-45cc-b339-e24f1cb6fbcf"", ""0486af5d-6d7c-4409-81e9-2fc4a38225c4"", ""1cf42373-411f-41fd-8705-c829800c2c55""]",
file_gdc_id,TEXT,,"[""cdd5e1a9-1ce8-4361-9fca-61ccb7098b25"", ""16a7391b-41d8-4b4a-9296-fcbec012a2e7"", ""2c8ae27f-bf3c-4fda-b718-c6491c4fd8df""]",
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-A6-2670-01A-02D-0820-05"", ""TCGA-BR-4190-01A-01D-1129-05"", ""TCGA-BR-4194-11A-01D-1129-05""]",
