column_name,column_type,column_description,sample_value,ref_key
Entrez,TEXT,Entrez ID from the NCBI,"[""7105""]",
Ensembl,TEXT,Ensembl ID,"[""ENSG00000000003""]",
Uniprot,TEXT,Uniprot IDentifier from the UniProtKB,"[""O43657"", ""A0A024RCI0"", ""A0A087WYV6""]",
Symbol,TEXT,"Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown)","[""TSPAN6""]",
OMIM,TEXT,Phenotype MIM number from the OMIM,"[""300191""]",
Alias,TEXT,HUGO Alias,"[""TM4SF6"", ""TSPAN-6"", ""T245""]",
Unigene,TEXT,UniGene,"[""Hs.587521"", ""Hs.43233""]",
Accession,TEXT,NCBI Reference Sequence,"[""NM_003270"", ""NM_001278743"", ""NP_003261""]",
ID,NUMBER,Reactome pathway ID (https://reactome.org/),[5785],
UCSC,TEXT,UCSC ID,"[""uc004ega.1"", ""uc010nna.1""]",
