column_name,column_type,column_description,sample_value,ref_key
sample_gdc_id,TEXT,,"[""b02fd704-03a6-44c4-b224-f5f457e733f3"", ""724072ae-40b5-45cc-b339-e24f1cb6fbcf""]",
file_gdc_id,TEXT,,"[""5cd6f2f6-7278-4757-be8e-a8ae3a7a81d3"", ""cdd5e1a9-1ce8-4361-9fca-61ccb7098b25""]",
case_barcode,TEXT,"Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details","[""TCGA-12-1601"", ""TCGA-A6-2670""]",
sample_barcode,TEXT,"Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries","[""TCGA-12-1601-01A"", ""TCGA-A6-2670-01A""]",
aliquot_gdc_id,TEXT,,"[""aa761ca4-e8f0-4a43-8262-bd84eedb459a"", ""b8074b70-ad2b-49e5-b70a-c6e8a6681830""]",
platform,TEXT,Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27,[],
probe_id,TEXT,Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe,"[""cg13306164"", ""cg08763433"", ""cg22968727""]",
aliquot_barcode,TEXT,"Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01","[""TCGA-12-1601-01A-01D-0595-05"", ""TCGA-A6-2670-01A-02D-0820-05""]",
beta_value,FLOAT,"Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)","[0.00393837594521082, 0.00553220182262394, 0.00785051644534616]",
case_gdc_id,TEXT,,"[""cc1459be-de8f-482e-9efe-65937db9dc45"", ""65bb7520-f055-43a8-b735-1152fa2c9e04""]",
