column_name,column_type,column_description,sample_value,ref_key
CancerType,TEXT,Description of collection (HTML format),"[""Breast Cancer"", ""Phantom"", ""Bladder Cancer""]",
Access,VARIANT,Limited or Public,"[""[\n  \""Public\""\n]""]",
ImageTypes,TEXT,Enumeration of image type/modality,"[""MG"", ""KO, MR"", ""CT, SEG""]",
DOI,TEXT,Long name of license of this analysis result,"[""10.7937/tcia.2019.ho23nxaw"", ""10.7937/k9/tcia.2014.a2n1ixox"", ""10.7937/k9/tcia.2015.08a1ixoo""]",
idc_webapp_collection_id,TEXT,,"[""victre"", ""qin_breast_dce_mri"", ""lung_phantom""]",
tcia_api_collection_id,TEXT,,"[""VICTRE"", ""QIN Breast DCE-MRI"", ""Lung Phantom""]",
Subjects,NUMBER,Number of subjects in collection,"[2994, 10, 1]",
tcia_wiki_collection_id,TEXT,,"[""VICTRE"", ""QIN Breast DCE-MRI"", ""Lung Phantom""]",
Status,TEXT,Collection status: Ongoing or Complete,"[""Complete""]",
Species,TEXT,Species of collection subjects,"[""Human"", ""Mouse""]",
Updated,DATE,Date of ost recent update,"[""2019-03-08"", ""2019-04-18"", ""2014-06-19""]",
Location,TEXT,DEPRECATED: Duplicate of source_doi,"[""Breast"", ""Lung Phantom"", ""Bladder""]",
Description,TEXT,URL of license of this analysis result,"[""<p>\n\tThe FDA anthropomorphic thorax phantom with 12 phantom lesions of different sizes (10 and 20 mm in effective diameter), shapes (spherical, elliptical, lobulated, and spiculated), and densities (&minus;630,&minus;10, and +100 HU) was scanned at Columbia University Medical Center on a 64-detector row scanner (LightSpeed VCT, GE Healthcare, Milwaukee, WI). The CT scanning parameters were 120 kVp, 100 mAs, 64x0.625 collimation, and pitch of 1.375. The images were reconstructed with the lung kernel using 1.25 mm slice thickness.</p>\n<p>\n\tPlease see the <a href=\""\"" url=\""https://doi.org/10.7937/K9/TCIA.2015.08A1IXOO\"" data-toggle=\""modal\"" data-target=\""#external-web-warning\"" class=\""external-link\"">Lung Phantom <i class=\""fa-solid fa-external-link external-link-icon\"" aria-hidden=\""true\""></i></a> wiki page to learn more about the images and to obtain any supporting metadata for this collection.</p>\n"", ""<span><p>We identified and characterized a patient-derived xenograft model with metastatic potential, bladder xenograft BL0293-F563. In this study we performed a detailed imaging characterization of this model, which develops spontaneous liver and bone metastases.</span></p>\n<p>\t<span>Please see the <a href=\""\"" url=\""https://doi.org/10.7937/tcia.2019.b6u7wmqw\"" data-toggle=\""modal\"" data-target=\""#external-web-warning\"" class=\""external-link\"">PDMR-BL0293-F563 <i class=\""fa-solid fa-external-link external-link-icon\"" aria-hidden=\""true\""></i></a> wiki page to learn more about the images and to obtain any supporting metadata for this collection.\n</span></p>"", ""<p>\n\tThe Cancer Genome Atlas-Sarcoma Cancer (TCGA-SARC) data collection is part of a larger effort to enhance the TCGA http://cancergenome.nih.gov/ data set with characterized radiological images. The Cancer Imaging Program (CIP) with the cooperation of several of the TCGA tissue-contributing institutions are working to archive a large portion of the radiological images of the genetically-analyzed SARC cases.</p><br />\n<p>\n\tPlease see the <a href=\""\"" url=\""https://doi.org/10.7937/K9/TCIA.2016.CX6YLSUX\"" data-toggle=\""modal\"" data-target=\""#external-web-warning\"" class=\""external-link\"">TCGA-SARC <i class=\""fa-solid fa-external-link external-link-icon\"" aria-hidden=\""true\""></i></a> page to learn more about the images and to obtain any supporting metadata for this collection.</p>\n""]",
collection_name,TEXT,Collection name as used externally by IDC webapp,"[""VICTRE"", ""QIN Breast DCE-MRI"", ""Lung Phantom""]",
URL,TEXT,Short name of license of this analysis result,"[""https://doi.org/10.7937/tcia.2019.ho23nxaw"", ""https://doi.org/10.7937/k9/tcia.2014.a2n1ixox"", ""https://doi.org/10.7937/k9/tcia.2015.08a1ixoo""]",
SupportingData,TEXT,Type(s) of addional available data,"["""", ""Clinical, Image Analyses"", ""Image Analyses""]",
licenses,VARIANT,,"[""[\n  {\n    \""license_long_name\"": \""Creative Commons Attribution 3.0 Unported License\"",\n    \""license_short_name\"": \""CC BY 3.0\"",\n    \""license_url\"": \""https://creativecommons.org/licenses/by/3.0/\""\n  }\n]""]",
collection_id,TEXT,Collection ID as used internally by IDC webapp,"[""victre"", ""qin_breast_dce_mri"", ""lung_phantom""]",
Program,TEXT,Program to which this collection belongs,"[""FDA"", ""QIN"", ""PDMR""]",
