column_name,column_type,column_description,sample_value,ref_key
examiner,VARIANT,Is this text truncated?,"[""[]""]",
fterm,VARIANT,"For US publications only, the description in HTML, limited to the first 9 megabytes","[""[]""]",
application_number_formatted,TEXT,"Application number, formatted to the patent office format where possible.","[""AT96104644T"", ""AT96119677T"", ""AT97903856T""]",
application_number,TEXT,"Patent application number (DOCDB compatible), eg: 'US-87124404-A'. This may not always be set.","[""AT-96104644-T"", ""AT-96119677-T"", ""AT-97903856-T""]",
grant_date,NUMBER,"For US publications only, the claims in plain text","[19970515, 20011115, 20020615]",
cpc,VARIANT,Two-letter language code for this text,"[""[\n  {\n    \""code\"": \""B08B15/04\"",\n    \""first\"": true,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B23Q11/0046\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]"", ""[\n  {\n    \""code\"": \""C08J9/22\"",\n    \""first\"": true,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B29B13/065\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B29K2025/00\"",\n    \""first\"": false,\n    \""inventive\"": false,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""C08J2325/04\"",\n    \""first\"": false,\n    \""inventive\"": false,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""F26B17/101\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""F26B17/1416\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]"", ""[\n  {\n    \""code\"": \""G07F17/32\"",\n    \""first\"": true,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""G07F17/32\"",\n    \""first\"": true,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""G07F17/3216\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""G07F17/3216\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]""]",
locarno,VARIANT,Localized text,"[""[]""]",
description_localized_html,VARIANT,Localized text,"[""[]""]",
publication_date,NUMBER,Two-letter language code for this text,"[19970515, 20011115, 20020615]",
kind_code,TEXT,"Kind code, indicating application, grant, search report, correction, etc. These are different for each country.","[""T1""]",
spif_publication_number,TEXT,"SPIF standard (spif.group) publication number, after 2000","[""""]",
ipc,VARIANT,Localized text,"[""[\n  {\n    \""code\"": \""B08B15/04\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B23Q11/00\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]"", ""[\n  {\n    \""code\"": \""B29B13/06\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""C08J9/22\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""C08L25/04\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""F26B17/10\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""F26B17/14\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]"", ""[\n  {\n    \""code\"": \""B24B1/00\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B24B3/24\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B24C1/02\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  },\n  {\n    \""code\"": \""B24C3/22\"",\n    \""first\"": false,\n    \""inventive\"": true,\n    \""tree\"": []\n  }\n]""]",
pct_number,TEXT,"PCT number for this application if it was part of a PCT filing, eg: 'PCT/EP2008/062623'.","[""""]",
filing_date,NUMBER,Is this text truncated?,"[19960323, 19961209, 19970115]",
entity_status,TEXT,The filing date.,"[""""]",
abstract_localized,VARIANT,Localized text,"[""[\n  {\n    \""language\"": \""en\"",\n    \""text\"": \""The milling tool (4) has a hollow working head into which are drawn the chippings (20) and dust, preferably from elastic material such as plastic or wood. The suction duct is a tube (2) fixed rigidly wrt. the tool and passing through the drive head (1) of the machine. This enables the suction hose (15) to be fitted with a minimum of complexity eg. no rotating seals required. An alternate solution has the driving shaft inside the fixed duct to provide extraction over the working area of the tool. In this design the extract hose is attached to a side arm at the upper end of the duct near the machine.\"",\n    \""truncated\"": false\n  }\n]"", ""[\n  {\n    \""language\"": \""en\"",\n    \""text\"": \""A method of, and apparatus for, treating an elongate rotary tool that presents a sharp cutting edge are described. The method includes the steps of emitting under pressure from a nozzle an abrasive fluid stream comprising an abrasive grit entrained in a fluid; and impinging the abrasive fluid stream against the sharp cutting edge of the elongate rotary tool for a preselected time so as to transform the sharp cutting edge into a relatively uniformly honed edge. The apparatus includes a rotatable fixture that releasably holds the elongate rotary tool. A nozzle that emits under pressure an abrasive steam. The nozzle and the elongate rotary tool are relatively moveable so that the abrasive stream impinges the entire length of the sharp cutting edge.\"",\n    \""truncated\"": false\n  }\n]"", ""[\n  {\n    \""language\"": \""en\"",\n    \""text\"": \""PCT No. PCT/EP97/06096 Sec. 371 Date Apr. 16, 1999 Sec. 102(e) Date Apr. 16, 1999 PCT Filed Nov. 5, 1997 PCT Pub. No. WO98/21208 PCT Pub. Date May 22, 1998Compounds of formula (I) in which R1, R2, R3 and R4 have the meanings indicated in the description, are novel active bronchial therapeutics\"",\n    \""truncated\"": false\n  }\n]""]",
description_localized,VARIANT,The publication abstracts in different languages,"[""[]""]",
assignee,VARIANT,Localized text,"[""[\n  \""Bornemann Werkzeugtechnik Gmbh\""\n]"", ""[\n  \""Buna Sow Leuna Olefinverb Gmbh\""\n]"", ""[\n  \""Kennametal Inc\""\n]""]",
citation,VARIANT,Two-letter language code for this text,"[""[]""]",
fi,VARIANT,Is this text truncated?,"[""[]""]",
inventor_harmonized,VARIANT,"For US publications only, the claims in HTML","[""[\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""BORNEMANN HERMANN\""\n  }\n]"", ""[\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""HAMANN BERND DR\""\n  },\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""BAGERITZ HANS\""\n  },\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""KLODT ROLF-DIETER DR\""\n  },\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""BOGER JUERGEN\""\n  },\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""WINZHEIMER BODO\""\n  },\n  {\n    \""country_code\"": \""DE\"",\n    \""name\"": \""LEHMANN REINHARD\""\n  }\n]"", ""[\n  {\n    \""country_code\"": \""US\"",\n    \""name\"": \""SHAFFER WILLIAM R\""\n  }\n]""]",
claims_localized_html,VARIANT,Is this text truncated?,"[""[]""]",
inventor,VARIANT,Is this text truncated?,"[""[\n  \""BORNEMANN, HERMANN\""\n]"", ""[\n  \""HAMANN, BERND, DR.\"",\n  \""BAGERITZ, HANS\"",\n  \""KLODT, ROLF-DIETER, DR.\"",\n  \""BOGER, JUERGEN\"",\n  \""WINZHEIMER, BODO\"",\n  \""LEHMANN, REINHARD\""\n]"", ""[\n  \""SHAFFER, WILLIAM, R.\""\n]""]",
claims_localized,VARIANT,Two-letter language code for this text,"[""[]""]",
application_kind,TEXT,High-level kind of the application: A=patent; U=utility; P=provision; W= PCT; F=design; T=translation.,"[""T""]",
priority_date,NUMBER,Localized text,"[19950403, 19951227, 19960325]",
