column_name,column_type,column_description,sample_value,ref_key
repository_language,TEXT,,"[""""]",
repository_readme_filename,TEXT,,"[""""]",
repository_uuid,TEXT,,"[""""]",
repository_url,TEXT,,"[""""]",
repository_security_threat_model_filename,TEXT,,"[""""]",
platform,TEXT,,"[""Rubygems""]",
dependent_repositories_count,NUMBER,,"[0, 1]",
repository_license,TEXT,,"[""""]",
repository_default_branch,TEXT,,"[""""]",
created_timestamp,NUMBER,,"[1422470571000000, 1422458541000000, 1422469517000000]",
dependent_projects_count,NUMBER,,"[0, 2]",
repository_sourcerank,NUMBER,,[],
repository_pull_requests_enabled,TEXT,,"[""""]",
id,NUMBER,,"[226392, 196455, 224309]",
repository_issues_enabled,BOOLEAN,,[],
repository_last_pushed_timestamp,NUMBER,,[],
repository_mirror_url,TEXT,,"[""""]",
bh,TEXT,,"[""""]",
repository_contributing_guidelines_filename,TEXT,,"[""""]",
latest_release_publish_timestamp,NUMBER,,"[1407715487000000, 1491551733000000, 1408124866000000]",
repository_id,NUMBER,,[],
repository_scm_type,TEXT,,"[""""]",
language,TEXT,,"[""""]",
repository_stars_count,NUMBER,,[],
repository_pages_enabled,BOOLEAN,,[],
licenses,TEXT,,"["""", ""GPL-3.0+"", ""MIT""]",
repository_host_type,TEXT,,"[""""]",
repository_keywords,TEXT,,"[""""]",
keywords,TEXT,,"[""""]",
status,TEXT,,"[""""]",
repository_fork,BOOLEAN,,[],
repository_name_with_owner,TEXT,,"[""""]",
latest_release_number,TEXT,,"[""0.0.10"", ""0.15.0"", ""0.0.7""]",
description,TEXT,,"[""Program for learning the guitar fretboard"", ""Free Software command-line tools for audio playback, mastering, and whatever else related to audio.  dtas follows the worse-is-better philosophy and acts as duct tape to combine existing command-line tools for flexibility and ease-of-development.  dtas is currently implemented in Ruby (and some embedded shell), but may use other languages in the future."", ""Will annoy you every day with how much you spent last day.""]",
repository_updated_timestamp,NUMBER,,[],
versions_count,NUMBER,,"[5, 19, 6]",
name,TEXT,,"[""msd-fretboard"", ""dtas"", ""miser""]",
repository_created_timestamp,NUMBER,,[],
repository_contributors_count,NUMBER,,[],
package_manager_id,NUMBER,,[],
repository_security_audit_filename,TEXT,,"[""""]",
repository_wiki_enabled,BOOLEAN,,[],
repository_open_issues_count,NUMBER,,[],
updated_timestamp,NUMBER,,"[1508809838000000, 1508807107000000, 1508809621000000]",
last_synced_timestamp,NUMBER,,"[1508809835000000, 1508807106000000, 1508809619000000]",
repository_last_synced_timestamp,TEXT,,"[""""]",
repository_description,TEXT,,"[""""]",
repository_status,TEXT,,"[""""]",
repository_forks_count,NUMBER,,[],
repository_license_filename,TEXT,,"[""""]",
repository_watchers_count,NUMBER,,[],
homepage_url,TEXT,,"[""http://msd.github.com"", ""https://80x24.org/dtas/"", """"]",
repository_size,NUMBER,,[],
repository_changelog_filename,TEXT,,"[""""]",
sourcerank,NUMBER,,"[4, 3, 0]",
repository_logo_url,TEXT,,"[""""]",
repository_display_name,TEXT,,"[""""]",
repository_homepage_url,TEXT,,"[""""]",
repository_fork_source_name_with_owner,TEXT,,"[""""]",
repository_code_of_conduct_filename,TEXT,,"[""""]",
