column_name,column_type,column_description,sample_value,ref_key
state,TEXT,All features given value 'New York',"[""New York""]",
zip_city,TEXT,City as derived from zipcode. This is often (but not always) the same as borough.,"[""Brooklyn""]",
nta_name,TEXT,This is the NTA name corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.,"[""Greenpoint""]",
address,TEXT,Nearest estimated address to tree,"[""142 HURON STREET"", ""138 HURON STREET"", ""1047 MANHATTAN AVENUE""]",
trunk_wire,TEXT,Indicates the presence of a trunk problem caused by wires or rope wrapped around the trunk,"[""No""]",
borocode,NUMBER,Code for borough in which tree point is located,[3],
spc_common,TEXT,"Common name for species, e.g. ""red maple""","[""Japanese zelkova"", ""American hophornbeam"", ""white oak""]",
zipcode,NUMBER,Five-digit zipcode in which tree is located,[11222],
root_grate,TEXT,Indicates the presence of a root problem caused by metal grates in tree bed,"[""No""]",
longitude,FLOAT,"Longitude of point, in decimal degrees","[-73.95575544, -73.95595165, -73.95508633]",
health,TEXT,Indicates the user's perception of tree health.,"[""Good""]",
sidewalk,TEXT,"Indicates whether one of the sidewalk flags immediately adjacent to the tree was damaged, cracked, or lifted. Not recorded for dead trees and stumps.","[""NoDamage""]",
x_sp,FLOAT,"X coordinate, in state plane. Units are feet.","[996512.1179, 996457.7426, 996697.2307]",
latitude,FLOAT,"Latitude of point, in decimal degrees","[40.7328774, 40.73285878, 40.73461948]",
user_type,TEXT,This field describes the category of user who collected this tree point's data.,"[""Volunteer""]",
root_other,TEXT,Indicates the presence of other root problems,"[""No""]",
stump_diam,NUMBER,"Diameter of stump measured through the center, rounded to the nearest inch.",[0],
st_senate,NUMBER,State Senate District in which tree point is located,[18],
boro_ct,NUMBER,This is the boro_ct identifyer for the census tract that the tree point falls into.,[3056300],
boroname,TEXT,Name of borough in which tree point is located,"[""Brooklyn""]",
root_stone,TEXT,Indicates the presence of a root problem caused by paving stones in tree bed,"[""No""]",
cncldist,NUMBER,Council district in which tree point is located,[33],
trnk_other,TEXT,Indicates the presence of other trunk problems,"[""No""]",
brch_light,TEXT,Indicates the presence of a branch problem caused by lights (usually string lights) or wires in the branches,"[""No""]",
brch_other,TEXT,Indicates the presence of other branch problems,"[""No""]",
y_sp,FLOAT,"Y coordinate, in state plane. Units are feet","[206286.6744, 206279.8644, 206921.4665]",
brch_shoe,TEXT,Indicates the presence of a branch problem caused by sneakers in the branches,"[""No""]",
tree_id,NUMBER,Unique identification number for each tree point,"[149558, 149557, 149661]",
created_at,DATE,The date tree points were collected in the census software,"[""2015-08-16""]",
problems,TEXT,,"[""None""]",
status,TEXT,"Indicates whether the tree is alive, standing dead, or a stump.","[""Alive""]",
nta,TEXT,This is the NTA Code corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.,"[""BK76""]",
curb_loc,TEXT,Location of tree bed in relationship to the curb; trees are either along the curb (OnCurb) or offset from the curb (OffsetFromCurb),"[""OnCurb""]",
spc_latin,TEXT,"Scientific name for species, e.g. ""Acer rubrum""","[""Zelkova serrata"", ""Ostrya virginiana"", ""Quercus alba""]",
cb_num,NUMBER,Community board in which tree point is located,[301],
guards,TEXT,"Indicates whether a guard is present, and if the user felt it was a helpful or harmful guard. Not recorded for dead trees and stumps","[""Harmful"", ""None""]",
block_id,NUMBER,Identifier linking each tree to the block in the blockface table/shapefile that it is mapped on.,"[216398, 216460, 216415]",
trnk_light,TEXT,Indicates the presence of a trunk problem caused by lighting installed on the tree,"[""No""]",
steward,TEXT,Indicates the number of unique signs of stewardship observed for this tree. Not recorded for stumps or dead trees.,"[""None"", ""1or2""]",
st_assem,NUMBER,State Assembly District in which tree point is located,[50],
tree_dbh,NUMBER,"Diameter of the tree, measured at approximately 54"" / 137cm above the ground.","[7, 9, 12]",
