column_name,column_type,column_description,sample_value,ref_key
country_region,TEXT,,"[""Czech Republic"", ""France""]",
confirmed,NUMBER,,"[146.0, 242.0]",
deaths,NUMBER,,"[2.0, 166.0]",
location_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x01\\xfa}\\xff\\xe6u1@i\\x1e\\xc0\""\\xbf\\x88H@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00W\\x94\\x12\\x82UU\\t@\\xbc\\xd6\\xde\\xa7\\xaa*G@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcd\\xcc\\xcc\\xcc\\xcc\\xcc\\x12@E)!XUUG@')""]",
date,DATE,,"[""2020-05-28"", ""2022-08-30"", ""2020-05-04""]",
longitude,FLOAT,,"[17.460556, 3.166667, 4.7]",
admin_2,TEXT,,"[""Uherské Hradiště District"", ""Allier"", ""Saône-et-Loire""]",
active,NUMBER,,"[1.0, -11575.0]",
sub_region1_name,TEXT,,"[""Zlin Region"", ""Auvergne-Rhône-Alpes"", ""Bourgogne-Franche-Comté""]",
recovered,NUMBER,,"[143.0, 11651.0]",
combined_key,TEXT,,"[""CZ_72_722"", ""FR_ARA_03"", ""FR_BFC_71""]",
province_state,TEXT,,"[""Zlin Region"", ""Auvergne-Rhône-Alpes"", ""Bourgogne-Franche-Comté""]",
fips,TEXT,,"[""722"", ""03"", ""71""]",
latitude,FLOAT,,"[49.068333, 46.333333, 46.666667]",
