index,RC（text）,cddt检出数,cddt总数,未检出原因（gold本身质量问题 or RC没cover，为什么没cover）
4,population=2000-01-01后开办且由特许体系直接资助的学校；row grain=一所学校；column role=学校电话号码；Meta review=FundingType与Charter Funding Type都被描述为特许学校资助类型，因此Directly funded不具有唯一字段落点,0,5,未检出5条：4条使用Meta支持的FundingType；另1条仅排除Phone为空的结果，而Q与Meta没有规定缺失电话号码的保留策略。
27,population=1991年后开办或2000年前关闭的学校；row grain=一所学校；column role=学校名称、平均写作成绩、电话号码（可缺失）；Meta review=AvgScrWrite表示平均写作成绩，School与sname都表示学校名称；Meta未说明缺失SAT成绩时是否保留学校,0,9,未检出9条：RC仍无法决定无SAT成绩学校应采用保留还是排除语义，因此不能区分LEFT与INNER连接。
28,population=采用本地资助且其K-12与5-17岁入学人数之差高于同类学校平均差值的学校；row grain=一所学校；column role=学校名称、DOC类型；Derivation=逐校入学人数差并与本地资助学校的平均差比较；Meta review=FundingType与Charter Funding Type都表示特许学校资助类型；DOC是数值代码，DOCType是代码的文本类型描述,0,6,未检出6条：候选使用的资助字段都受Meta支持，且全部返回Q要求的DOCType；gold返回DOC代码，与Q和Meta语义不一致。
32,population=所有权代码为66的学校；row grain=一所入选学校；column role=K-12免费或减价餐合格率；Derivation=K-12 FRPM人数除以K-12入学人数；filter policy=按K-12 FRPM人数降序取前5；Meta review=FRPM Count (K-12)与Enrollment (K-12)已经定义指标的K-12范围，GSoffered/GSserved是另一类学校年级跨度属性,4,4,
59,population=由Mike Larson或Dante Alvarez管理的学校；row grain=一所学校；column role=学校网站；Meta review=管理员姓名由成对的first-name/last-name属性表达，并存在多个管理员槽位；Meta不改变Q中两个管理员对应学校集合的OR语义,7,7,
108,population=最大贷款所对应客户账户的完整交易历史；row grain=一笔交易；column role=交易金额；filter policy=先取最大贷款对应客户，再取其账户历史中的第一笔交易；Meta review=account date表示账户创建日期，transaction date表示交易日期，二者都只有日期级表示，不能把开户后的首笔事件直接收缩为日期严格大于开户日期,5,5,
119,population=1993年开户且结单方式为交易后出单的账户；row grain=一个账户；column role=账户ID、地区名称、地区区域；Meta review=account date采用YYMMDD格式，因此1993年的合法前缀是93,0,1,未检出1条：候选使用93前缀符合Meta；gold对YYMMDD值使用年份格式化，本身存在表示问题。
129,population=1996年1月的非信用卡取款所关联地区；row grain=一个地区；column role=地区名称；filter policy=取10个地区；Meta review=VYDAJ表示withdrawal，VYBER KARTOU明确表示credit-card withdrawal，因此非信用卡取款需要排除该operation；Meta仍未给出top ten的排名依据,1,11,未检出10条：这些候选正确排除了credit-card withdrawal，但Q与Meta均未决定按次数、金额还是字母序取前10。检出的C10没有排除credit-card withdrawal。
232,population=含原子间单键且非致癌的分子；row grain=一个不同分子；column role=分子ID；filter policy=按分子ID字母序取前3个不同分子；Meta review=bond type的'-'表示单键，molecule label的'-'表示非致癌；同一分子可以对应多条bond记录，因此top-3必须保持分子粒度,4,4,
245,population=碘元素原子；row grain=一个汇总结果；column role=平均成键数；Derivation=每个碘原子的成键数的平均值；Meta review=connected明确区分first atom与second atom，碘原子出现在任一端都构成其成键；平均值的总体是全部碘原子,2,3,未检出1条：C2同时统计两端连接并以全部碘原子为分母，满足Meta复核后的RC。C1/C6通过INNER JOIN遗漏零成键碘原子。gold只统计first-atom一侧，本身有质量问题。
252,population=与铅元素原子相连的原子；row grain=一个相邻原子；column role=相邻原子的身份；Meta review=atom_id是原子的唯一身份，element只是元素类别；connected的atom_id与atom_id2分别表示键的两个端点,2,11,未检出9条：这些候选返回相邻atom_id，符合RC；gold额外返回铅原子自身ID。检出的2条只返回element类别而非原子身份。
296,population=包含TR000_1_2且该键第一原子为TR000_1的分子；row grain=一个分子；column role=分子ID；Meta review=bond_id格式本身编码所属分子及两个原子，TR000_1_2已经包含第一原子TR000_1的信息,0,10,未检出10条：全部候选返回指定bond所属molecule id；C6虽未重复检查第一原子，但该信息已由bond_id编码。gold额外输出字段。
