column_name,column_type,column_description,sample_value,ref_key
cbsa_fips_code,TEXT,,"[""16980""]",
county_gnis_code,TEXT,,"[""01581101"", ""01581110"", ""01581069""]",
lsad_code,TEXT,,"[""06""]",
fips_class_code,TEXT,,"[""H1""]",
mtfcc_feature_class_code,TEXT,,"[""G4020""]",
int_point_lon,FLOAT,,"[-90.6199687, -90.3596497, -90.6099532]",
county_geom,BINARY,,[],
geo_id,TEXT,,"[""55081"", ""55099"", ""55019""]",
lsad_name,TEXT,,"[""Monroe County"", ""Price County"", ""Clark County""]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcb\\xc22\\x91\\xad\\xa7V\\xc0-\\xbfg\\x7f\\xfb\\xf8E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\n\\xe1,\\x80\\x04\\x97V\\xc0v\\x8e\\x01\\xd9\\xeb\\xd6F@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xcc\\x85%y\\t\\xa7V\\xc0\\x00\\xb6r\\xe5\\xa2^F@')""]",
county_fips_code,TEXT,,"[""55081"", ""55099"", ""55019""]",
area_water_meters,NUMBER,,"[18586826, 62098964, 23243273]",
functional_status,TEXT,,"[""A""]",
area_land_meters,NUMBER,,"[2333329706, 3247987842, 3133097725]",
csa_fips_code,TEXT,,"[""176""]",
state_fips_code,TEXT,,"[""55""]",
county_name,TEXT,,"[""Monroe"", ""Price"", ""Clark""]",
met_div_fips_code,TEXT,,"[""29404""]",
int_point_lat,FLOAT,,"[43.9451751, 45.6790725, 44.7393462]",
