column_name,column_type,column_description,sample_value,ref_key
SampleType,TEXT,"There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal","[""Primary solid Tumor""]",
SampleBarcode,TEXT,"Barcode of the biospecimen sample, eg TCGA-13-1489-02A","[""TCGA-04-1331-01A""]",
ParticipantBarcode,TEXT,"TCGA barcode identifier for the study participant, eg TCGA-02-0001","[""TCGA-04-1331""]",
GISTIC_Calls,FLOAT,Gistic Copy Number calls,"[0.038, 0.052, 0.062]",
Locus_ID,NUMBER,"Gene locus ID, eg.  57380, 100616303","[126969, 55079, 26811]",
Study,TEXT,"TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations","[""OV""]",
AliquotBarcode,TEXT,"TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28","[""TCGA-04-1331-01A-01D-0428-01""]",
Cytoband,TEXT,"Full cytoband name, including chromosome. E.g, 17p13.2 See https://www.ncbi.nlm.nih.gov/Class/MLACourse/Original8Hour/Genetics/chrombanding.html","[""1p21.3"", ""3p14.2"", ""1p34.1""]",
SampleTypeLetterCode,TEXT,"Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes","[""TP""]",
Gene_Symbol,TEXT,"eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown","[""SLC44A3"", ""FEZF2"", ""SNORD55""]",
