column_name,column_type,column_description,sample_value,ref_key
targetA,TEXT,,"[""ENSG00000148835"", ""ENSG00000270882"", ""ENSG00000182264""]",
interactionIdentifier,TEXT,,"[""EBI-15619372"", ""EBI-15856494"", ""EBI-16208582""]",
hostOrganismTaxId,NUMBER,,"[562, -1]",
pubmedId,TEXT,,"[""17227857"", ""20498094"", ""27309818""]",
interactionDetectionMethodShortName,TEXT,,"[""dls"", ""fps""]",
interactionDetectionMethodMiIdentifier,TEXT,,"[""MI:0038"", ""MI:0053""]",
expansionMethodMiIdentifier,TEXT,,[],
targetB,TEXT,,"[""ENSG00000148835"", ""ENSG00000273983"", ""ENSG00000183560""]",
intABiologicalRole,TEXT,,"[""unspecified role""]",
speciesA,VARIANT,,"[""{\n  \""mnemonic\"": \""human\"",\n  \""scientificName\"": \""Homo sapiens\"",\n  \""taxonId\"": 9606\n}""]",
participantDetectionMethodA,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": {\n        \""miIdentifier\"": \""MI:0396\"",\n        \""shortName\"": \""predetermined\""\n      }\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": {\n        \""miIdentifier\"": \""MI:0867\"",\n        \""shortName\"": \""tag fluorescence\""\n      }\n    }\n  ]\n}""]",
speciesB,VARIANT,,"[""{\n  \""mnemonic\"": \""human\"",\n  \""scientificName\"": \""Homo sapiens\"",\n  \""taxonId\"": 9606\n}""]",
hostOrganismScientificName,TEXT,,"[""Escherichia coli"", ""In vitro""]",
intB,TEXT,,"[""Q15542"", ""P68431"", ""A6ND01-1""]",
intASource,TEXT,,"[""uniprotkb""]",
interactionScore,FLOAT,,"[0.65, 0.89, 0.8]",
intBSource,TEXT,,"[""uniprotkb""]",
interactionTypeMiIdentifier,TEXT,,"[""MI:0407""]",
evidenceScore,FLOAT,,[],
interactionTypeShortName,TEXT,,"[""direct interaction""]",
expansionMethodShortName,TEXT,,[],
interactionResources,VARIANT,,"[""{\n  \""databaseVersion\"": \""246\"",\n  \""sourceDatabase\"": \""intact\""\n}""]",
intA,TEXT,,"[""Q15542"", ""P62805"", ""Q8IYV9-1""]",
hostOrganismTissue,VARIANT,,"[""null""]",
participantDetectionMethodB,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": {\n        \""miIdentifier\"": \""MI:0396\"",\n        \""shortName\"": \""predetermined\""\n      }\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": {\n        \""miIdentifier\"": \""MI:0867\"",\n        \""shortName\"": \""tag fluorescence\""\n      }\n    }\n  ]\n}""]",
intBBiologicalRole,TEXT,,"[""unspecified role""]",
