column_name,column_type,column_description,sample_value,ref_key
directLocationIds,VARIANT,,[],
obsoleteTerms,VARIANT,,[],
name,TEXT,,"[""infectious disease"", ""hematologic disease"", ""complement activation""]",
description,TEXT,,"[""A disease whose physical basis is an infectious agent"", ""Disorders of the blood and blood forming tissues."", ""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway.""]",
children,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0001867\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0001802\""\n    },\n    {\n      \""element\"": \""GO_0001806\""\n    },\n    {\n      \""element\"": \""GO_0002445\""\n    },\n    {\n      \""element\"": \""GO_0016068\""\n    }\n  ]\n}"", ""{\n  \""list\"": []\n}""]",
id,TEXT,,"[""EFO_0005741"", ""EFO_0005803"", ""GO_0006956""]",
ancestors,VARIANT,,"[""{\n  \""list\"": []\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0002376\""\n    },\n    {\n      \""element\"": \""GO_0048583\""\n    },\n    {\n      \""element\"": \""GO_0050896\""\n    },\n    {\n      \""element\"": \""GO_0008150\""\n    },\n    {\n      \""element\"": \""GO_0050789\""\n    },\n    {\n      \""element\"": \""GO_0002682\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0002376\""\n    },\n    {\n      \""element\"": \""GO_0050896\""\n    },\n    {\n      \""element\"": \""GO_0008150\""\n    },\n    {\n      \""element\"": \""GO_0006954\""\n    },\n    {\n      \""element\"": \""GO_0006950\""\n    },\n    {\n      \""element\"": \""GO_0002526\""\n    }\n  ]\n}""]",
code,TEXT,,"[""http://www.ebi.ac.uk/efo/EFO_0005741"", ""http://www.ebi.ac.uk/efo/EFO_0005803"", ""http://purl.obolibrary.org/obo/GO_0006956""]",
indirectLocationIds,VARIANT,,[],
ontology,VARIANT,,"[""{\n  \""isTherapeuticArea\"": true,\n  \""leaf\"": false,\n  \""sources\"": {\n    \""name\"": \""EFO_0005741\"",\n    \""url\"": \""http://www.ebi.ac.uk/efo/EFO_0005741\""\n  }\n}"", ""{\n  \""isTherapeuticArea\"": true,\n  \""leaf\"": false,\n  \""sources\"": {\n    \""name\"": \""EFO_0005803\"",\n    \""url\"": \""http://www.ebi.ac.uk/efo/EFO_0005803\""\n  }\n}"", ""{\n  \""isTherapeuticArea\"": false,\n  \""leaf\"": false,\n  \""sources\"": {\n    \""name\"": \""GO_0006956\"",\n    \""url\"": \""http://purl.obolibrary.org/obo/GO_0006956\""\n  }\n}""]",
parents,VARIANT,,"[""{\n  \""list\"": []\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0002682\""\n    },\n    {\n      \""element\"": \""GO_0050896\""\n    },\n    {\n      \""element\"": \""GO_0048583\""\n    },\n    {\n      \""element\"": \""GO_0002376\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0002526\""\n    },\n    {\n      \""element\"": \""GO_0002376\""\n    }\n  ]\n}""]",
therapeuticAreas,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": \""EFO_0005741\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""EFO_0005803\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0008150\""\n    }\n  ]\n}""]",
descendants,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0001867\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""GO_0002445\""\n    },\n    {\n      \""element\"": \""GO_0001802\""\n    },\n    {\n      \""element\"": \""GO_0016068\""\n    },\n    {\n      \""element\"": \""GO_0001806\""\n    }\n  ]\n}"", ""{\n  \""list\"": []\n}""]",
synonyms,VARIANT,,"[""{\n  \""hasExactSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""disorder due to infection\""\n      },\n      {\n        \""element\"": \""infectious disorder\""\n      },\n      {\n        \""element\"": \""communicable disease\""\n      },\n      {\n        \""element\"": \""disease by infectious agent\""\n      },\n      {\n        \""element\"": \""infectious disease\""\n      },\n      {\n        \""element\"": \""infectious\""\n      },\n      {\n        \""element\"": \""infection\""\n      },\n      {\n        \""element\"": \""infectious diseases and manifestations\""\n      },\n      {\n        \""element\"": \""transmissible disease\""\n      }\n    ]\n  },\n  \""hasNarrowSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""clinical infection\""\n      }\n    ]\n  },\n  \""hasRelatedSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""disease by infectious agent\""\n      }\n    ]\n  }\n}"", ""{\n  \""hasExactSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""complement response\""\n      },\n      {\n        \""element\"": \""complement cascade\""\n      }\n    ]\n  },\n  \""hasRelatedSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""complement activity\""\n      }\n    ]\n  }\n}"", ""{\n  \""hasRelatedSynonym\"": {\n    \""list\"": [\n      {\n        \""element\"": \""hypersensitivity response\""\n      }\n    ]\n  }\n}""]",
dbXRefs,VARIANT,,"[""{\n  \""list\"": [\n    {\n      \""element\"": \""DOID:0050117\""\n    },\n    {\n      \""element\"": \""ICD9:136.8\""\n    },\n    {\n      \""element\"": \""NCIT:C26726\""\n    },\n    {\n      \""element\"": \""ICD10:Z22\""\n    },\n    {\n      \""element\"": \""ICD9:079.0\""\n    },\n    {\n      \""element\"": \""IDO:IDO_0000436\""\n    },\n    {\n      \""element\"": \""MONDO:0005550\""\n    },\n    {\n      \""element\"": \""MESH:D003141\""\n    },\n    {\n      \""element\"": \""ICD10CM:A00-B99\""\n    },\n    {\n      \""element\"": \""SCTID:40733004\""\n    },\n    {\n      \""element\"": \""IDO:0000436\""\n    },\n    {\n      \""element\"": \""ICD9:136.9\""\n    },\n    {\n      \""element\"": \""SNOMEDCT:40733004\""\n    }\n  ]\n}"", ""{\n  \""list\"": [\n    {\n      \""element\"": \""ICD9:289.8\""\n    },\n    {\n      \""element\"": \""ICD9:289.9\""\n    },\n    {\n      \""element\"": \""MeSH:D006402\""\n    },\n    {\n      \""element\"": \""GARD:22522\""\n    },\n    {\n      \""element\"": \""MESH:D006402\""\n    },\n    {\n      \""element\"": \""SCTID:414022008\""\n    },\n    {\n      \""element\"": \""UMLS:C0018939\""\n    },\n    {\n      \""element\"": \""NCIT:C26323\""\n    },\n    {\n      \""element\"": \""GTR:AN1320635\""\n    },\n    {\n      \""element\"": \""MONDO:0005570\""\n    },\n    {\n      \""element\"": \""Orphanet:97992\""\n    },\n    {\n      \""element\"": \""ICD9:280-289.99\""\n    },\n    {\n      \""element\"": \""ICD10CM:D50-D89\""\n    },\n    {\n      \""element\"": \""ICD10:D75\""\n    },\n    {\n      \""element\"": \""DOID:74\""\n    }\n  ]\n}"", ""{\n  \""list\"": []\n}""]",
