column_name,column_type,column_description,sample_value,ref_key
state_fips_code,TEXT,,"[""78"", ""60"", ""33""]",
division_code,TEXT,,"[""0"", ""1"", ""2""]",
area_water_meters,NUMBER,,"[1550236199, 1307243751, 1026903434]",
int_point_lon,FLOAT,,"[-64.9712508, -170.6682674, -71.5843145]",
functional_status,TEXT,,"[""A""]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xb0\\x8d\\x1d\\xf9(>P\\xc0\\x8d\\x08\\xc6\\xc1\\xa5S2@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00t\\x7fPrbUe\\xc0\\x05\\xaa\\x7f\\x10\\xc9\\x88,\\xc0')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\t\\x05\\xa5he\\xe5Q\\xc0ci\\x96\\xba\\x1a\\xd6E@')""]",
geo_id,TEXT,,"[""78"", ""60"", ""33""]",
state_gnis_code,TEXT,,"[""01802710"", ""01802701"", ""01779794""]",
state,TEXT,,"[""VI"", ""AS"", ""NH""]",
region_code,TEXT,,"[""9"", ""1""]",
area_land_meters,NUMBER,,"[348021896, 197759069, 23189198255]",
state_name,TEXT,,"[""United States Virgin Islands"", ""American Samoa"", ""New Hampshire""]",
int_point_lat,FLOAT,,"[18.326748, -14.267159, 43.6726907]",
state_geom,BINARY,,[],
mtfcc_feature_class_code,TEXT,,"[""G4000""]",
lsad_code,TEXT,,"[""00""]",
