column_name,column_type,column_description,sample_value,ref_key
county_gnis_code,TEXT,,"[""01581110"", ""01581080"", ""01581083""]",
cbsa_fips_code,TEXT,,[],
lsad_code,TEXT,,"[""06""]",
fips_class_code,TEXT,,"[""H1""]",
mtfcc_feature_class_code,TEXT,,"[""G4020""]",
int_point_lon,FLOAT,,"[-90.3596497, -88.7733265, -88.9703796]",
county_geom,BINARY,,[],
geo_id,TEXT,,"[""55099"", ""55041"", ""55047""]",
lsad_name,TEXT,,"[""Price County"", ""Forest County"", ""Green Lake County""]",
int_point_geom,BINARY,,"[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\n\\xe1,\\x80\\x04\\x97V\\xc0v\\x8e\\x01\\xd9\\xeb\\xd6F@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00T\\xa8n.~1V\\xc0\\x1e\\xab\\xefW\\\\\\xd5F@')"", ""bytearray(b\""\\x01\\x01\\x00\\x00\\x00(\\xad\\t\\xb3\\x1a>V\\xc0\\x17\\'c!\\xdf\\xe3E@\"")""]",
county_fips_code,TEXT,,"[""55099"", ""55041"", ""55047""]",
area_water_meters,NUMBER,,"[62098964, 83594186, 79202663]",
functional_status,TEXT,,"[""A""]",
state_fips_code,TEXT,,"[""55""]",
csa_fips_code,TEXT,,[],
area_land_meters,NUMBER,,"[3247987842, 2626878506, 905314776]",
met_div_fips_code,TEXT,,[],
county_name,TEXT,,"[""Price"", ""Forest"", ""Green Lake""]",
int_point_lat,FLOAT,,"[45.6790725, 45.6668806, 43.7802469]",
