column_name,column_type,column_description,sample_value,ref_key
zipcode,TEXT,Indicates the zipcode where the incident occurred.,[],
address,TEXT,Full address where the incident occurred.,[],
timestamp,NUMBER,Time when the incident occurred. This is sometimes a best estimate.,"[1423094400000000, 1423440000000000, 1431648000000000]",
longitude,FLOAT,,[],
location,TEXT,,"[""(0         \n1         \n2         \n3         \n4         \n        ..\n38567     \n38568     \n38569     \n38570     \n38571     \nName: latitude, Length: 38572, dtype: object,0         \n1         \n2         \n3         \n4         \n        ..\n38567     \n38568     \n38569     \n38570     \n38571     \nName: longitude, Length: 38572, dtype: object)""]",
council_district_code,NUMBER,Indicates the council district code where the incident occurred.,[],
location_description,TEXT,Description of the location where the incident occurred.,"[""LOYOLA LN"", ""910 E VILLAGE LN"", ""120 W. 4TH ST""]",
year,NUMBER,Indicates the year in which the incident occurred.,[2015],
clearance_status,TEXT,,"[""Not cleared"", ""Cleared by Arrest""]",
latitude,FLOAT,,[],
description,TEXT,The subcategory of the primary description.,"[""BURGLARY OF VEHICLE           "", ""THEFT FROM PERSON             "", ""THEFT OF BICYCLE              ""]",
district,TEXT,Indicates the police district where the incident occurred.,"[""UK"", ""F""]",
unique_key,NUMBER,Unique identifier for the record.,"[20155005182, 20158000455, 20158000456]",
x_coordinate,NUMBER,The x coordinate of the location where the incident occurred,[],
primary_type,TEXT,The primary description of the NIBRS/UCR code.,"[""Theft""]",
clearance_date,NUMBER,,"[1424131200000000.0, 1431907200000000.0, 1423785600000000.0]",
y_coordinate,NUMBER,The y coordinate of the location where the incident occurred,[],
census_tract,FLOAT,,[],
