column_name,column_type,column_description,sample_value,ref_key
DFI,NUMBER,"Disease-free interval event, 1 for patient having new tumor event whether it is a local recurrence, distant metastasis, new primary tumor of the cancer, including cases with a new tumor event whose type is N/A.  Disease free was defined by: first, treatment_outcome_first_course is ""Complete Remission/Response""; if the tumor type doesn't have ""treatment_outcome_first_course"" then disease-free was defined by the value ""R0"" in the field of ""residual_tumor""; otherwise, disease-free was defined by the value ""negative"" in the field of ""margin_status"". If the tumor type did not have any of these fields, then its DFI was NA. 0 for censored otherwise. New primary tumor in other organ was censored; patients who were Dead with tumor without new tumor event are excluded; patients wih stage IV are excluded too.",[],
PFI_time,NUMBER,"Progression-free interval time in days, for events, either new_tumor_event_dx_days_to or death_days_to,  whichever is applicable; or for censored cases, either last_contact_days_to or death_days_to, whichever is applicable","[982.0, 734.0, 90.0]",
PFI,NUMBER,"Progression-free interval event, 1 for patient having new tumor event whether it was a progression of disease, local recurrence, distant metastasis, new primary tumors all sites, or died with the cancer without new tumor event, including cases with a new tumor event whose type is N/A. 0 for censored otherwise. ",[0.0],
OS,NUMBER,"Overall survival event, 1 for death from any cause, 0 for alive",[1],
Redaction,TEXT,To show if the case is redacted.,[],
OS_time,NUMBER,"Overall survival time in days, last_contact_days_to or death_days_to, whichever is larger","[153.0, 982.0, 734.0]",
DSS_time,NUMBER,"Disease-specific survival time in days, last_contact_days_to or death_days_to, whichever is larger.","[982.0, 734.0, 90.0]",
DFI_time,NUMBER,"Disease-free interval time in days, new_tumor_event_dx_days_to for events, or for censored cases, either last_contact_days_to or death_days_to, whichever is applicable.",[],
DSS,NUMBER,"Disease-specific survival event, 1 for patient whose vital_status was Dead and tumor_status was WITH TUMOR. If a patient died from the disease shown in field of cause_of_death, the status of DSS would be 1 for the patient.  0 for patient whose vital_status was Alive or whose vital_status was Dead and tumor_status was  TUMOR FREE. This is not a 100% accurate definition but is the best we could do with this dataset. Technically a patient could be with tumor but died of a car accident and therefore incorrectly considered as an event.",[],
Study,TEXT,"TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations","[""LAML"", ""MESO"", ""READ""]",
ParticipantBarcode,TEXT,"TCGA barcode identifier for the study participant, eg TCGA-02-0001","[""TCGA-AB-2870"", ""TCGA-AB-2944"", ""TCGA-TS-A7PB""]",
