column_name,column_type,column_description,sample_value,ref_key
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x90\\x8b\\xc5\\xca\\xc3\\xd9V\\xc0\\xca\\xdc|#\\xbamE@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x009\\xe7\\xf1\\xc5\\xa8\\x9eW\\xc0j/\\xa2\\xed\\x98\\x13E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00W\\xf5\\xf2;\\xcd\\xf9V\\xc0-98\"");E@')""]",
place_gnis_code,TEXT,Current place GNIS code,"[""02394652"", ""02393523"", ""02395421""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""24690"", ""13350"", ""38100""]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[109564, 7680, 359126]",
place_name,TEXT,Full text name of the place,"[""Elkader"", ""Churdan"", ""Independence""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""19""]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[42.857243, 42.1531045, 42.4621928]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Elkader city"", ""Churdan city"", ""Independence city""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[3566076, 5473336, 15736323]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-91.4025752, -94.4790511, -91.9031515]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,"[false, true]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""1924690"", ""1913350"", ""1938100""]",
