column_name,column_type,column_description,sample_value,ref_key
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[33.5017614, 33.6706117, 33.5849687]",
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[79033, 288553, 16185]",
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25"", ""43""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xff\\xf9\\xc7\\x8c\\x01\\x17\\\\\\xc0\\x95\\xb2\\xb1\\xb79\\xc0@@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x8e/5\\x9d\\xf8\\x1c\\\\\\xc0P\\xe8\\xab\\x9a\\xd6\\xd5@@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xbd\\x01f\\xbe\\x83\\x13\\\\\\xc0\\x81\\xd7\\x1dA\\xe0\\xca@@')""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,"[false, true]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Litchfield Park city"", ""Surprise city"", ""Youngtown town""]",
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""41330"", ""71510"", ""85400""]",
place_name,TEXT,Full text name of the place,"[""Litchfield Park"", ""Surprise"", ""Youngtown""]",
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-112.3594696, -112.4526742, -112.304916]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[8517915, 280149266, 3851267]",
place_gnis_code,TEXT,Current place GNIS code,"[""02410842"", ""02412016"", ""02413523""]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""0441330"", ""0471510"", ""0485400""]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""04""]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
