column_name,column_type,column_description,sample_value,ref_key
area_water_meters,NUMBER,"Area of the place that consists of water, in square meters","[817, 0]",
name_lsad,TEXT,Current name and the translated legal/statistical area description for place,"[""Clark Fork city"", ""Basalt city"", ""Firth city""]",
area_land_meters,NUMBER,"Area of the place that consists of land, in square meters","[2551055, 758058, 1484417]",
place_id,TEXT,Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code,"[""1614950"", ""1605230"", ""1627910""]",
place_name,TEXT,Full text name of the place,"[""Clark Fork"", ""Basalt"", ""Firth""]",
internal_point_lat,FLOAT,"Latitude of the place's internal point, which is the point at or closest to the place's geographic center","[48.148019, 43.3144432, 43.3057876]",
state_fips_code,TEXT,Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016,"[""16""]",
fips_class_code,TEXT,Current FIPS class code,"[""C1""]",
functional_status,TEXT,Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html,"[""A""]",
place_gnis_code,TEXT,Current place GNIS code,"[""02409468"", ""02409794"", ""02410508""]",
internal_point_geom,BINARY,"Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x97%\\xf0=\\x12\\x0b]\\xc0\\xe3\\x17^I\\xf2\\x12H@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x82\\x1a\\x08\\x13\\x90\\n\\\\\\xc0\\x8c9\\xbe\\xac?\\xa8E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\""u\\x96\\xb4\\xbd\\x0b\\\\\\xc0\\xdb\\xc2N\\x0c$\\xa7E@')""]",
principal_city_msa,BOOLEAN,Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa ,[false],
place_geom,BINARY,Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz,[],
place_fips_code,TEXT,Five-digit FIPS code for the given place,"[""14950"", ""05230"", ""27910""]",
internal_point_lon,FLOAT,"Longitude of the place's internal point, which is the point at or closest to the place's geographic center","[-116.1729884, -112.1650436, -112.1834537]",
principal_city_ne,BOOLEAN,Indicates if a place is the principal city for a New England city and town area,[false],
lsad_code,TEXT,"Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes","[""25""]",
