column_name,column_type,column_description,sample_value,ref_key
population_age_98,NUMBER,Population at Age 98,[0],
population_age_34,NUMBER,Population at Age 34,"[430, 456, 490]",
population_age_21,NUMBER,Population at Age 21,"[664, 515, 418]",
population_age_71,NUMBER,Population at Age 71,"[108, 101, 105]",
population_age_31,NUMBER,Population at Age 31,"[481, 521, 578]",
population_age_40,NUMBER,Population at Age 40,"[368, 367, 398]",
population_age_95,NUMBER,Population at Age 95,"[1, 0, 2]",
population_age_14,NUMBER,Population at Age 14,"[613, 440, 421]",
population_age_58,NUMBER,Population at Age 58,"[175, 207, 224]",
population_age_81,NUMBER,Population at Age 81,"[41, 42, 44]",
population_age_26,NUMBER,Population at Age 26,"[547, 610, 621]",
population_age_24,NUMBER,Population at Age 24,"[603, 624, 597]",
population_age_15,NUMBER,Population at Age 15,"[644, 445, 432]",
population_age_51,NUMBER,Population at Age 51,"[250, 299, 319]",
population_age_28,NUMBER,Population at Age 28,"[509, 602, 609]",
population_age_29,NUMBER,Population at Age 29,"[499, 578, 611]",
population_age_2,NUMBER,Population at Age 2,"[540, 576, 563]",
population_age_25,NUMBER,Population at Age 25,"[576, 614, 621]",
population_age_6,NUMBER,Population at Age 6,"[471, 525, 555]",
population_age_94,NUMBER,Population at Age 94,"[1, 2]",
population_age_68,NUMBER,Population at Age 68,"[126, 122, 130]",
population_age_22,NUMBER,Population at Age 22,"[649, 599, 464]",
population_age_7,NUMBER,Population at Age 7,"[472, 512, 530]",
population_age_90,NUMBER,Population at Age 90,[6],
population_age_99,NUMBER,Population at Age 99,[0],
population_age_77,NUMBER,Population at Age 77,"[66, 67, 72]",
population_age_60,NUMBER,Population at Age 60,"[165, 181, 200]",
population_age_30,NUMBER,Population at Age 30,"[491, 552, 600]",
population_age_63,NUMBER,Population at Age 63,"[150, 155, 165]",
population_age_18,NUMBER,Population at Age 18,"[694, 392, 423]",
population_age_50,NUMBER,Population at Age 50,"[266, 309, 326]",
