column_name,column_type,column_description,sample_value,ref_key
authority,TEXT,,"[""HGNC""]",
gene_symbol,TEXT,,"[""MIA2"", ""TUT7"", ""Rtraf""]",
locus,TEXT,,"[""14q21.1"", ""9q21.33"", ""14|14 A3""]",
organism,TEXT,,"[""Homo sapiens"", ""Mus musculus""]",
NCBI_gene_id,TEXT,,"[""4253"", ""79670"", ""68045""]",
chromosome,TEXT,,[],
uniprotkb_ids,TEXT,,"[""G3V3C4;G3V4M1;G3V599;G3V5K6;O15320;Q96PC5"", ""A0A0C4DFW3;Q5VYS8;Q5VYS9;Q5VYT0;X6R3Q3"", ""Q9CQE8""]",
gene_description,TEXT,,"[""14"", ""9"", ""19""]",
proteins,TEXT,,"[""G3V3C4;G3V4M1;G3V599;G3V5K6;NP_001234917.1;NP_001234918.1;NP_001234919.1;NP_001316143.1;NP_001341066.1;NP_001341067.1;NP_001341068.1;NP_001341069.1;NP_001341070.1;NP_001341071.1;NP_001341072.1;NP_001341073.1;NP_001341074.1;NP_001341075.1;NP_001341076.1;NP_001341077.1;NP_001341078.1;NP_001341079.1;NP_001341080.1;NP_001341081.1;NP_001341082.1;NP_001341083.1;NP_001341084.1;NP_001341085.1;NP_001341086.1;NP_005921.2;NP_473365.3;NP_976229.1;NP_976230.1;NP_976231.1;O15320;O15320-10;O15320-2;O15320-3;O15320-4;O15320-5;O15320-6;O15320-7;O15320-8;O15320-9;Q96PC5;Q96PC5-2;XP_011535080.1;XP_011535087.1;XP_016876803.1;XP_016876804.1;XP_016876805.1;XP_016876806.1;XP_016876807.1;XP_016876808.1;XP_016876812.1;XP_016876813.1;XP_016876816.1;XP_016876819.1;XP_024305360.1;XP_024305361.1;XP_024305362.1;XP_024305363.1;XP_024305364.1;XP_024305365.1;XP_024305366.1"", ""A0A0C4DFW3;NP_001171988.1;NP_001172003.1;NP_001317647.1;NP_078893.2;Q5VYS8;Q5VYS8-2;Q5VYS8-3;Q5VYS8-4;Q5VYS8-5;Q5VYS8-6;Q5VYS9;Q5VYT0;X6R3Q3;XP_005252264.1;XP_005252265.1;XP_006717346.1;XP_011517313.1;XP_011517314.1;XP_011517315.1;XP_011517316.1;XP_011517317.1;XP_011517318.1;XP_016870619.1;XP_016870620.1;XP_024303439.1;XP_024303440.1"", ""NP_080804.1;Q9CQE8""]",
gene_id,TEXT,,"[""879da873-1b57-11e9-b7f8-0a80fada099c"", ""e0951c7f-1b57-11e9-b7f8-0a80fada099c"", ""bdb32dd4-1b57-11e9-b7f8-0a80fada099c""]",
uniprotkb_id,TEXT,,"[""Q96PC5"", ""Q5VYS8"", ""Q9CQE8""]",
assays,TEXT,,[],
authority_gene_id,TEXT,,"[""18432"", ""25817"", ""3336""]",
