original_column_name,column_name,column_description,data_format,value_description
msgkey,,"A CHAR(12) primary key for each messaging analysis record (e.g., 'MA1234567890').",character,
msgcntref,,"References ContentBehavior(CntRef) (e.g., 'CB1234567890').",character,
msgnetref,,"References NetworkMetrics(NetKey) (e.g., 'NE1234567890').",character,
msgsimscore,,"NUMERIC(4,3) message similarity measure (e.g., '0.562').",numeric,
msgfreq,,"NUMERIC(6,2) how frequently messages are sent (e.g., '45.67').",numeric,
msgtgtdiv,,"NUMERIC(4,2) diversity of message targets (e.g., '1.25').",numeric,
resptimepat,,"An enum (ResponseTimePattern_enum) labeling response speed (Natural, Delayed, Random, Instant).",USER-DEFINED,
convnatval,,"NUMERIC(4,3) how natural conversation flow is (e.g., '0.753').",numeric,
sentvar,,"NUMERIC(6,4) sentiment variation (e.g., '0.1234').",numeric,
langsoph,,"NUMERIC(5,3) linguistic sophistication (e.g., '0.763').",numeric,
txtuniq,,"NUMERIC(4,2) text uniqueness across messages (e.g., '0.85').",numeric,
keypatmatch,,"A VARCHAR(32) describing detected keyword/pattern (e.g., 'spam_trigger').",character varying,
topiccoh,,"NUMERIC(5,4) topic coherence rating (e.g., '0.8743').",numeric,
